<title>曉寢</title>,<text>曉寢凝寒思。捋鬚氷入懷。童言昨夜雪。牕外小松埋。</text>
<title>小軒春望。李聖寬 裕中 墻角紅桃盛開。</title>,<text>感子蒔花意。偏於野老榮。多應全樹借。分與小詩淸。透壁華燈色。窺墻姹女情。天機無物我。蜂蝶莫紛爭。</text>
<title>聽雨孤坐。忠甫袖詩來訪。卛題謝之。</title>,<text>睡起藜床不啓門。雨中料理洗花盆。偶然客到驚巢燕。蹴落山榴入小軒。</text>
<title>嶺中</title>,<text>水繞龍堂歸海遲。山橫鳥道接天危。玄琴鶴舞新羅日。秘字烏含藥飯時。鍾阜傖荒多見晩。雪門章甫不言詩。楸梧寂寞憐寒食。三月前旬始用犧。</text>
<title>自笑</title>,<text>自笑高陽舊酒徒。狂歌散髮卧江湖。春來養眼深關戶。客到尋聲始得吾。近浦舟船明月在。小虛烏鵲晩煙孤。門前弱柳多情思。上有黃鸝時一呼。</text>
<title>卛題</title>,<text>山氣葱籠日夕佳。道人於此了生涯。杜鵑開後春生色。旅鴈歸時客有懷。野竹通籬圍老屋。澗苔隨屐上寒階。斜陽獨立頻回首。意在紅流疊石崖。</text>
<title>偶吟</title>,<text>嶺樹江雲寄所思。夕陽歸鳥欲何之。花心有熱非眞趣。水面無風是歇時。古屋生春先得鷰。垂楊含態已驚鸝。詩成索共靑山笑。此意寥寥我獨知。</text>
<title>遣興</title>,<text>林間百舌太多言。此老玄機久厭煩。天地蕭蕭一茅屋。江湖漠漠小桃源。池光似月淸含柳。野氣如烟散入村。每歲花開常作客。今年花落不窺園。</text>
<title>寫懷</title>,<text>層層花竹洛東村。中有幽人鬂雪紛。畏道行經槐蟻國。全家去入海𩿨羣。山深白日常多雨。帆過靑空忽見雲。蕙子春來聞健否。一罇那得與論文。</text>
<title>散愁</title>,<text>不向東涯問釣魚。慵愁仍與白𩿨踈。江湖氣動春猶澁。京國音回月屢虛。三亥按方開老酒。一鴟隨意借新書。人情歲久逾懷土。未信幷州似舊居。</text>
<title>寄情</title>,<text>晩水漁竿病後拋。北山薇露滴寒庖。荒禽啄蘂仍啼樹。新鷰貪泥不在巢。飽飯殘年悲老杜。呑符疇昔識窮郊。丘琴欲奏相思引。溪月娟娟掛柳梢。末句屬李爾極。號柳溪。</text>
<title>書事</title>,<text>百里人烟井邑閒。新羅之世屬王官。千年覇氣隨流水。一片孤城見架山。浣石有名江月吊。鹿峰無主野僧寒。東柯物色今如許。鳳下樓 上枝院門 開落照間。</text>
<title>無題</title>,<text>蕭蕭春雨一江寒。江上暮雲猶未還。倚枕忽聞人剝啄。應門惟有鳥間關。村貧市貨皆靑藿。稅重公田半碧山。鴛𪆽無心立洲渚。草堂何事想朝班。</text>
<title>銷閒</title>,<text>去歲高吟矗石樓。今年重在洛江頭。奇文遠叩名山室。秘篆追回太乙舟。世故商量多未解。春懷搖蕩似無愁。眼前何限難平事。一笑出門烟水流。</text>
<title>有感</title>,<text>樵歌唱晩出深松。流水柴門一徑蹤。老見霜毛增偃蹇。病歸雲壑得從容。碁驚翻覆無完局。酒別淸渾有各鍾。最怕穹林獰虎處。寥寥獨宿是孤峯。</text>
<title>漫成</title>,<text>南北東西意渺然。無心日覺海𩿨賢。羣芳競艶春還淡。衆壑分光月自圓。舊雨應添白蘋水。新詩正屬濁醪天。世間多少乘除事。花落花開年又年。</text>
<title>此翁</title>,<text>此翁非是取魚人。接縷連筒自任眞。雲海月沉迷氣色。芡盤風縐見精神。須臾蟹眼翻寒竹。閃忽蛛絲掛素鱗。回與洛陽親友道。邇來江漢有垂綸。</text>
<title>隨意</title>,<text>山河極目我行遲。他席他鄕白髮垂。村酒好時仍得月。桃花落後更無詩。歸雲遠峀天機在。芳草閒門世事疑。舊物蕭條梧竹冷。晩風長嘯北林鴟。</text>
<title>苦憶 蕙君一號菊圃</title>,<text>苦憶溪東種菊田。寒花歲晩爲誰姸。當時江漢題襟字。他夜池塘夢草緣。天際音容同看月。愁中鬂髮各爭年。風埃冉冉迷西北。余馬邅迴不肯前。</text>
<title>奉次舍叔韻。簡李爾極 柱大。</title>,<text>端居物色卷舒荷。稔歲生涯滅裂禾。沙鳥有歸煙水濶。野人無事晩山多。秋花老圃饒寒思。厲石東門起暮歌。隔樹遙聞碁子響。溪翁杖屐幾時過。西風淅淅撼枯荷。是月田家已納禾。秋意漸於山色薄。晩吟便爲菊花多。閒機野老能相得。靜處園禽遂不歌。長笛一聲殘睡罷。十分淸事牧兒過。</text>
<title>挽丁進士 最愼</title>,<text>十月楊州送塟時。水風山雪夜霏微。死歸玄宅方容膝。斂用靑衫劣掩肌。少婦啼痕晝燭淚。窮家物色曙星輝。菊翁死後朱弦斷。欲奏哀辭手自疑。荒雪孤村獨掩門。逢君一笑夜床溫。詩篇欝欝胸中事。世故紛紛耳外言。窮歲有兄分薄廩。前年作客爲新婚。歸期晼晩城西菊。忽見靑山塟旅魂。</text>
<title>琴操十二疊</title>,<text>琴操。悲蕙子也。宇宙寥寥。人琴俱死。萬古明月。嗚呼蕙子。鳴琴坐夜闌。前軒猶月色。此意已寂寥。此曲無人識。君嘗愛誦劉賓客月色滿前軒。琴聲宜夜蘭之句。蘭生谷中香。蘭死谷中藏。日暮我車北。我操發淸商。君塟在黔川之蘭谷。吾聞琴之用。遂與神明通。神明不在遠。只在此心中。嘗與君論歐陽子琴說。仍言琴之妙如此。冉冉玉人來。姍姍是耶非。曲終忽不見。落月窺牕扉。離鸞與別鳳。哀鳴風雨中。風雨夜未艾。秋意生梧桐。今日重七也。日月依辰。感懷彌襟。黯黯琴中事。幽憂集短檠。秋虫赴餘響。此曲是變聲。不遣餘音度變聲。君嘗贈余詩。而用樂府同聲語。曲中有詠詩。懷君明月裏。盈盈上陽花。已落猶生意。君喜王右丞落花猶有生意在之句。每月夜吟諷。薇花有零露。感君折柳詞。援琴度一曲。繞壁松風吹。余時一至洛。君爲詩以別之。歸則揭壁吟賞。學琴頗學古。新聲未堪彈。平生與君語。不作兒女歡。余好琴。近得梁譜。彈古調數引。抱琴深見月。月明河漢沒。今夜神仙會。留君漸㙜瑟。漸臺星在織女星下。藏樂器。三月建春宅。園淸花事長。爾琴不成亂。我詩不成章。甲辰春。會飮于洪建春花園。君醉中隨手鼓琴。寄書泉下人。書能達黃壤。此理或有徵。我琴君應賞。章卒用弇園事以結之。哀傷痛苦之至也。</text>
<title>秋懷八首</title>,<text>秋懷。悲秋氣也。天時搖落。人意凄黯。良朋不至。孤鴈獨來。眷言回首。沉歎交襟。浮雲起西北。陰雨東南來。前峯忽異景。皓魄遂沉埋。綿延自成聽。永夜鳴聲哀。叢篁增我念。弱枝應已摧。駭波走文鯉。下江漁梁頹。漁梁不足惜。嘉糓恐爲災。朱明日以逝。玄化日以摧。時物會飄墮。志士勤栽培。寥寥得心悟。歲晩獨徘徊。徘徊將夜闌。星斗慘不開。嫋嫋秋風白。娟娟秋葉赤。繁阿曖遠淸。曜靈凝寒矚。園華久已歇。暗懷憐篁竹。竹實何團團。良爲鳳凰食。鳳飢不下噣。蹙刺羣鷄啄。蕭蕭上番枝。凄怨自銷落。悲風日夕起。羣卉遂寂寞。寂寞終何爲。中林多枳棘。枳棘何離離。平路阻且深。徘徊宛與洛。引領懷好音。東西御溝水。鴛𪆽竟飛沉。紅塵蔽天起。雲日互陰霒。流潦忽縱橫。我馬自悲吟。睠焉肅時命。整駕將遠尋。緬懷福川人。種橘千磵潯。雙雙騎白鹿。游戱榴花陰。粲然顧我笑。泠泠動玉琴。冥機發眞詮。怳忽契幽襟。悠悠元化際。渺渺玉壺心。樵翁竟不還。千載隔雲林。雲林無結構。今古緬荒途。長嘯激淸風。永懷巢許徒。巢許豈不高。鳥獸難與居。世皆趨冥寂。堯舜且焉如。所以稷卨輩。奔走導皇輿。皇輿日遠邁。王跡久荒蕪。煕煕聖鮮日。文物入唐虞。上德撫神運。衷和協聖謨。山阿閴以閒。冠帶竟長衢。誰能挾一藝。終死讀其書。區區浪奔跡。抱拙守窮廬。窮廬多歲月。此道良悠悠。淸琴懶橫膝。哀響接素秋。一彈勞遠懷。再彈集幽憂。憂來未終曲。寂寞精神收。冥冥海色動。魂夢自浮遊。浮遊黔中路。路傍有荒丘。言是子期塚。徘徊雙涕流。流波逝不還。虛籟響四幽。斯人不可見。我琴便長休。休休更漠漠。明月照高樓。高樓望長安。迢遆指日邊。長安九門外。西門最幽姸。西門西巷北。槐柳積秋煙。入門時左顧。方宅依桑顚。靑靑澤畔蕙。歲暮顔色鮮。芳馨屢已摘。良遇恐遷延。淸晨自巡廳。日昃抱書眠。綿綿寄曠懷。悲嘯入雲天。興文且自陶。散懶不成硏。淵哲善埋照。潛光日闇然。朱紫眩時眼。誰識子玄玄。眷懷以自愛。歲久德愈宣。棲遲有一壑。吾自斲山田。悠悠世道憂。眘子久吾捐。但令一柱在。可以當百川。百川競奔豗。孤舟靡所届。中流忽轉薄。宛在洛之汭。平松影霮䨴。落星光晻曖。蘭風泛惠光。灌木變精采。萋萋灌木陰。本在一堂內。花花自同蔕。飄落亦相對。流飆更凌亂。隔水紛飛灑。覽此悲靑歲。悠然感物態。人情無遠近。所貴知音在。羅幬與莞席。婉㜻婦人愛。奈此骨肉親。未忍暫離廢。君來我心夷。君去我心痗。感君懷淸眄。賁然垂我惠。格澤爲君駕。離瑜爲君幣。請君莫遽前。容我整衣帶。衣帶暫晥潔。牀座稍簡遫。時醪泛壺觴。園果明盤槅。漁梁屢失意。無魚但鷄臛。田逕披草露。過門招近局。朝日照石扉。連連響筇屐。林居增懶性。不省出迎客。請略拜跪禮。寬坐縱談謔。然後進一盃。與我作顔色。盃行約三巡。農謳遆一曲。歡言各醉飽。寸誠愧菲薄。僕本遠方士。辭家就爾宿。亮不爲婚媾。且非爲飮啄。委懷在仁里。美風光我澤。誾誾君子惠。燕語無晨夕。今夕信可愛。此會亦不俗。</text>
<title>秋懷後八首</title>,<text>蘭飈蕭瑟桂華微。浚谷迢迢有所思。天色弄秋紛靄靄。葉心承日凈輝輝。羣禽食野林還靜。獨鴈含霜菊已知。夢裏逢君詩事得。柳塘烟雨白𩿨飛。遠岸燈熒鴻鴈騷。空江風急鯉魚豪。一年花事終黃菊。今夜詩懷遇濁醪。靜處天機心得細。病餘秋色骨爭高。憂人本自悲搖落。况復淸霜上鬂毛。庭木蕭蕭響枕邊。半牕孤火夢娟娟。河山月吊鷄鳴國。霜露秋深雀啄田。詩事偶因楓落好。病懷仍作菊花顚。歸心欲逐南江水。江水南流益渺然。紅顔春樹夢悠悠。蹋蹋高歌歲月流。落日雲歸何處峀。窮年人卧大江秋。村聲競占潛魚水。海氣多來販醢舟。一笑滄洲吾道濶。等閒身世得天遊。山頂層層荒竹垣。竹間朝夕細烟分。風來颯颯西南樹。月出寥寥上下村。槎影久迷銀漢路。秋寒恐入玉樓雲。十年人事悲歌裏。魂夢依依繞九閽。蕭騷天地一書生。流落江湖老客星。詩得瘦淸同我貌。病將寒熱作人情。丹符刻畫龍鷰字。藥褁緘封鳥獸形。側近靑山煙樹晩。幾時聞健恣閒行。紫閣前峯夢裏塵。東湖千里有鱸蓴。龍蟠雨氣深藏水。楓老秋陰欲化身。巷社盃樽他夜月。禁城花柳隔年春。蘆漪四面漁歌響。江漢風流是逸民。松桂閒園陰復晴。野夫於此二秋螢。深林月色孤峰看。永夜灘聲白𪆽聽。今日江山暎華髮。去年京洛賣玄亭。金盤橘柚重雕餙。爲是佳人好我馨。</text>
<title>寓目八詠</title>,<text>晩壑雲深隱。雲開出數松。徹皮眞性得。垂老寸心空。細火村傭作。寒樵雪路通。蕭蕭翰林宅。寂歷卧聽風。右松凄凄防露影。無復出墻枝。子在槐何死。霜嚴桂不支。一時虫篆合。連夜鳥棲移。終是龍騰氣。風雷暗護持。右竹巷社知名酒。諸君九日觴。三門盛楓葉。十里泛紅光。嶺樹寒仍碧。山桑病或黃。曾遊已寥落。旅跡益滄涼。右楓花事方春盛。孤芳獨少顔。未應羣卉妬。良爲九秋慳。我愛風霜際。人求色臭間。先天眞氣味。長共濁醪還。右菊散緩黃池水。初來不漸車。氣含羣動活。境納百川虛。神女懷間珮。靈龜背上書。天時氷雪壯。龍卧意何如。右江鷓鴣山一曲。終古有仙靈。石芋星精白。松苓藥氣靑。天晴奔急雨。春暖養羣馨。淪落非眞隱。寬閒且暫停。右山拂石垂楊暖。遊魚戱殺人。吹津欺白𪆽。映日食靑蘋。夜水能諳性。春雷或有神。空鉤坐終夕。誰識此翁眞。右魚繞梁羣𪆽下。下處雪紛飛。落落三星在。寥寥一夜饑。無心歸綠水。亂眼點苔磯。戱問垂竿客。如何不願肥。右鳥</text>
<title>屛跡 七首</title>,<text>少歲霑微祿。中年學耦耕。人猶聖世物。詩是故鄕情。借屋安身易。䂓田種菜成。生涯便自得。聊以善爲名。此道眞吾拙。於身豈自謀。爲農艱食力。作客善容愁。凡鳥曾題字。元龍自在樓。蓬萊消息斷。氷雪滿歸舟。破屐通秋雨。寒扉掩夕煙。年侵懷往日。事到問高天。暗牖披荒竹。昏樵借釣船。眞成少活計。偶得好林泉。閉門山月墮。山色有無中。遙夜淸燈事。千年汗竹風。縱非難浪跡。猶是錯料翁。寂寞江湖興。長瞻落後鴻。生理聞人說。飄零慰老身。江山通獩貊。風俗重濂閩。野屐秋相問。沙𩿨日益親。詩成却分解。鄰媼點頭頻。月落村舂急。天寒織杼悲。傳聞寬大詔。屢下聖明時。長吏猶徵稅。愚民或有辭。老人閒白晝。卧看石壕詩。沜沜桃花水。桃源有主人。爾曹還獨樂。吾老更誰親。徵士詩中畵。南陽病後春。烟波意無極。身世歎迷津。</text>
<title>挽申進士 濂○二首</title>,<text>自喜東家老。深深至死名。卑喧身始隱。澹寂道由生。野趣看時物。天遊得性情。斯翁竟巖穴。爾輩愧簪纓。虛認袁公額。誰傳太史書。彭殤俱幻化。天地一欷歔。旅泊渾無藉。聲光賴有渠。存亡何限淚。沾灑倩君裾。</text>
<title>挽成司藝 起寅○二首</title>,<text>尋常人物論。箇箇上班資。淡拙惟吾道。飛沉奈爾私。浮雲心不競。逝水跡增悲。抱去金泥帖。追勘造化兒。踏雪靑驢倦。冲烟白板斜。相看玄髮少。因勸濁醪多。簷日愁將墮。花時許更過。歸舟商洛遠。痛哭起寒波。</text>
<title>挽李侍直 浹○四首</title>,<text>濯濯靈和柳。盈盈華月中。羣芳競回首。枯木與爲容。氣色超黃霧。因依得紫峰。東南窮世界。寬濶若堂封。生於太宰宅。老於太師鄕。科名杏園首。年鬂絳人行。古峽深龍化。秋田晩菊荒。泉臺不寂寞。寢處玉蘭芳。頗怪鬚眉皓。來從太子遊。一燈華署夜。殘夢暎湖秋。晩業違孤逝。遺緣托勝流。餘生增隕涕。年義感先休。書自分司至。遺余雙玉瓻。有心持過嶺。得酒擬敲扉。踈懶身仍病。遷延計已非。片氷終不滅。流照寸誠微。</text>
<title>社中進醵。和權忠甫。</title>,<text>碁盤叩罷櫟陰晴。取次呼來滿滿觥。浮世難逢今日會。何人獨抱異鄕情。榴花一洗殘春艶。麥氣微分五月淸。深樹晩鶯啼盡未。詩愁半向此中生。</text>
<title>日昨社遊。李德卿 煕一 持過夏酒來。又以詩見惠甚盛。和韻寄謝。</title>,<text>芳醪名過夏。醽醁和燒春。此外無眞趣。時中合聖人。衰年妨肺渴。殘暑卧漳濱。痛飮酬佳惠。餘甘及比鄰。</text>
<title>和奉李爾極</title>,<text>敢倚榴花在。煩君強一歡。人從窮處得。地入醉鄕寬。郢曲知音晩。商歌盡日寒。相看便默默。此道古猶難。</text>
<title>題芭蕉扇八絶</title>,<text>鮮鮮古藤皮。宛宛新蕉葉。搖動凉風生。枯竹聲相合。金環與角臺。諒爲豪家設。我本草中人。分合持草物。夢車仍夢葢。夢亦有想因。蕉葉復蕉葉。我本無夢人。學士葫蘆兒。山人芭扇子。縱然依㨾同。惟是閒忙異。企脚北牕下。悠然天際想。淸風有時來。淅淅芭蕉響。不種芭蕉樹。常嫌風雨鳴。自得芭蕉扇。難除風雨聲。不自有弛張。矧肯趨炎熱。只可懷好風。切莫遮西日。淸夏屬無事。鷰老鸎不歸。痛飮蕉觴酒。閒題蕉扇詩。</text>
<title>雨後觀漲。次李爾久韻。俳體也。</title>,<text>龍闘石淫口欲緘。偶然長嘯倚風杉。狂潮靈胥千年化。宿麥阿香一夜芟。𩿨沒浪翻前浦樹。樵歸路割半山巖。危途咫尺看平地。無恙中洲有布帆。天漏難將化綿緘。翻來板瓦吼枯杉。定知水國徵餘畒。那得詩人賦載芟。危岸纔分高處柳。遠山微露一層巖。篙師重利輕趨險。要趁船錢急掛帆。秩秩書箱懶發緘。偶尋幽徑出前杉。孤峰帶濕雷猶響。老樹衝波葉盡芟。魚樂不爭新占穴。𪆽飛先據最高巖。一聲奧靄江村暮。前港舟船競落帆。龍伯宮壺誤失緘。大聲吹地動高杉。天機自在魚生活。衆妙惟看草薙芟。蘋末出頭此溪樹。波間露背何山巖。東南世界眞寬濶。吾道滄洲付一帆。竿尺不煩珍重緘。詩牌圓活粉枯杉。寄來細報江流漲。看去先敎徑草芟。坐處無方憐白水。歸時留跡記蒼巖。眼前商舶催官漕。如許風波卽進帆。通夜憂懷耿耿緘。雨餘江畔但空杉。金人終古疲津筏。水伯如今掌刈芟。宿𪆽依林纔覔地。怒蛟衝岸欲呑巖。滄波極目雲開處。一點歸烏是遠帆。護堤芳草翠雲緘。捍水千春蔭古杉。霜齒呀呀爭反噬。風刀霍霍又來芟。連天自作無邊海。特地猶存不伏巖。一雨先時愁甲子。市門今日列檣帆。噌吰石罅坼封緘。巢鶴驚飛過別杉。誓水碑殘靈獸沒。耕烟草長老龍芟。層陰晝結樓臺嶼。暝色天低象馬巖。楚柁吳檣消息斷。波心往往出鱟帆。</text>
<title>又次忠甫韻。亦俳體。</title>,<text>嚼得靑黃度一春。眼前䅘麥慰餘民。桑溟化處空中碧。河漢傾來天上銀。盡把浸田歸水府。仍從涸轍起波臣。蒼梧北海知何在。汗漫仙遊逐洞賓。羣物方躋壽域春。伊誰一雨害於民。空王大界山如雪。水帝高居屋是銀。滄海無田皆斥鹵。廟堂言利卽材臣。中朝眷眷蒼生意。紅帕前頭對九賓。</text>
<title>丁注書士瞿 喜愼 匹馬踰嶺而至。爲有鍾離之思也。相對喜甚。賦之。</title>,<text>嶺路穿楓遠。寥天行李貧。悲歌看弟妹。一笑對親姻。流浪乾坤大。逢迎鬢髮新。黃花酒未熟。詩以洗車塵。</text>
<title>文木硯匣歌</title>,<text>龍門老槐老而窮。千年枯死嵁巖中。虎倒龍顚氣慘憺。殘膚爛甲緣蟻虫。山下斧斤日相尋。禪竈夜夜薪火烘。坡平少年夜讀書。往往撲鼻聞香風。明發尋香下樓去。矮槎卧壑如斷虹。少年見之驚且喜。徘徊歎息尤天公。我初聞香識寃氣。夜來光怪干蒼穹。不幸遇困幸遇我。寶物也有時窮通。陵陽刖足抱荊璞。伯喈知音收爨桐。爲語山靈作布施。取之不煩靑蚨銅。識者惟吾用者誰。近來好事慕軒翁。一板珍重遠相贈。憑軒解包心神融。座中爭覩雜賓從。堂前嘖異喧兒童。淸臺匠師手法高。謹齋先生指畫工。軟斧斲斲細鉅分。麤沙密石相磨礱。蓬姿雪嶺忽飛來。縠紋花葉紛葱瓏。軒翁拍手稱瑰奇。忽復料量心西東。用之爲瓢終見棄。用之爲樽亦屢空。吾友虛中甚貧薄。白板蕭條不庇躬。無寧舍此讓君居。大庀四子俱歡衷。謹齋嗟歎匠師賀。且爲石君營新宮。新宮制度平若案。四壁文繡光玲瓏。玄龜曬腹龍縮腰。狀如折墌殊穹窿。草舍繩樞何足筭。勢與五鳳相爭䧺。橫雲却月當中出。玄潭水氣增空濛。曲曲闌干靑豹尾。牙管拈出珊瑚筒。釰脊雙龍金燦爛。螺背刻畫塡靑紅。復有紅蠻小閤子。露桃霜菊紛叢叢。虛中爾本山澤蹤。爾屋無乃太侈豊。古時居處文梓室。金谷繁華有石崇。爾豈苗裔實似之。風流得與前人同。爾居直北是慕軒。軒翁與爾同始終。翁年六十頭皓白。眼暗幾時耳又聾。老去文章同刻楮。邇來身世隨轉蓬。破屋三間聊自娛。土壚竹檠頗有功。庭樹風暄禽鳥樂。半牕紅日明房櫳。對此興發搜枯膓。忽覺烟霧生喉嚨。眼前物色復何有。硯涸筆腐紙蒙戎。有時作意題數字。翳花撩亂奔玄熊。掇筆長吁心惘然。故人嘉惠徒虛蒙。嗚呼故人嘉惠徒虛蒙。何以報之雙碧筩。</text>
<title>挽李友 善恒</title>,<text>春樹紅顔意杳然。憶曾相對古松前。石泉淸洌浮瓜水。盞酒商量賣楮錢。妄倚天人三策大。纔能旬月一篇圓。如今點檢題名處。最少惟吾已暮年。雲月凄微繐帳昏。茶爐香歇藥鐺翻。箱籤寂歷蓮峰集。花竹蕭踈樹谷園。泉下鬼能通五經。人間吾自哭孤墳。阿郞血字煩徵輓。題處行行老淚痕。</text>
<title>山陽道中。至日甚暖。流潦浩蕩。辛苦跋履。感而有作。</title>,<text>盡日滙行徒御悲。扶鞍頓策去遲遲。堪嗤險路吾驢倦。未信明廷宰相癡。賓鴈欲歸愁半道。寒魚初上負流澌。山河寂寞龍蛇蟄。今夜陽生定爲誰。</text>
<title>次韻寄洪啓暉 曙 二首</title>,<text>作惡中年事。矧今臨老頭。秋風渡漢水。夜月見吳州。爲客無時了。非君不我留。殷殷歲暮意。詩札慰窮愁。山路徑行遠。霜楓落馬頭。愁時看渭水。在處卽幷州。市道黃金盡。心機白鳥留。一行千里面。不省有離愁。</text>
<title>無題</title>,<text>夕燈初上報炊忙。一飽頹然睡味長。覺後西牕殘月白。一庭松竹影蒼涼。</text>
<title>題而直 杭 族叔屛風八絶 此下寓商山後作</title>,<text>伊水淸如練。上有熊耳山。朝朝望雲氣。蓍草生其間。山水養靈異。不獨鍾於物。溫溫素履翁。有孫肖彷彿。少日登桂籍。明時典槐史。升爲度支郞。出佐管餉使。花棧天酒綠。德浦新梅好。銀盤出水中。向坐素亭。玩水月故云。 盛之壽兩老。中堂添績火。餘光僅一線。斟量寘繅車。三兒妨展卷。洛江氣蕭索。喬木多悲風。盈盈弄淸水。欝欝舍人松。張公九世居。百忍還多事。不如我家風。終始一誠字。我居本江表。我來非遠人。娟娟伊上月。相對無主賓。</text>
<title>族祖松隱翁 碩弼 以松窩錄勝示余覔詩。遂此賦呈。</title>,<text>魚戱水檻西。魚戱水檻東。上有一老翁。垂影滄波中。俯觀魚隊戱。悠然下釣筒。魚子遂不戱。散入蘆葦叢。老翁罵魚子。魚子殊儱侗。不省我釣直。安知我心空。我心本不機。魚樂自無窮。江湖有魴鯉。相忘信不通。悁悁我心憂。四山多悲風。右垂釣檻菡萏花正開。我軒不凄凉。中夜微風發。芳澤聞我床。溫溫君子德。黯黯君子香。眷焉垂我惠。得薦君子堂。謂我好奇服。贈我芙蓉裳。蓮舫藉絲䋏。泛泛秋水光。信手摘蓮花。蓮花如我長。蓮花尙堪摘。蓮葉愼無傷。上有千歲龜。下有雙䲶鴦。右賞蓮軒小松依老屋。憑軒俯鳥棲。上條承簷短。下條拂檻低。翩翩雙白鶴。其高與之齊。主翁白而長。峙立纔過臍。盤桓小垂手。撫弄東復西。他皆傍雲天。爾獨近塗泥。猶然有本性。霜霰色不悽。靑靑高枝柳。欝欝蔭河堤。秋天搖落後。此道方不迷。右撫松簷示來題目。許多景物。如在眼前。甚盛甚盛。然於琴之事。不少槩見何哉。有名窩有名琴。又有名彈者在左右。何等奇事哉。山水卉木。非不佳也。在窩特外物耳。孰若琴之周旋几案之內。出入心手之間者乎。其妙處勿論。其切近者如此。余故曰窩之事。琴爲貴。山水次之。卉木又次之。故於卒也。特拈一目。作樂府詩一疊三解以叙琴。貴之也。又係以琴客兩人之事。而尤眷眷於主人翁者。有所感也。君侯閤中琴。本靖陵駙馬某家物。 練膓氷玉寒。曾經鳳樓月。簫郞芳澤殘。淸音隨風發。玄鶴來盤桓。何以賁琴餙。七寶眞珠玕。何以粧琴閤。四角沉水檀。將來膝上置。將去閤中安。宿昔思一聽。齋心沐芳蘭。幽颸響深竹。軫沼生微瀾。大絃吟老龍。小絃啼孤鸞。誰能爲此曲。金李兩人彈。一解 金彈頗高古。李彈自團圝。音調各別趣。妙處亦殊般。南花間北柳。華月上闌干。醉客靑玻瓈。佳人白牧丹。此時情婉㜻。可與李君歡。孤樽命歡友。靑眼鐙前看。簷松作夜籟。山溜鳴風湍。此時心靜寂。捨得金君難。世故日侵尋。此道亦闌珊。二解 闌珊遂至今。歲月旣屢單。深深掩琴閤。主人坐長歎。主人愛古調。風雅殊可觀。藹然琴之理。具在方寸寬。牛鐸來村徑。雉媒翳林巒。何必宮與商。勤心覔指端。重華世已遠。天地夜漫漫。癡人喜吹筒。瞽人悲扣盤。所貴三尺桐。瘖啞壁中乾。三解○右藏琴閣</text>
<title>松窩十詠</title>,<text>下臺頗欝欝。上臺風以臨。月明松子落。孤鶴爲一吟。右松臺隱老有琴癖。庭桐議伐琴。憑軒成一笑。葉葉聽希音。右梧壇等閒看月色。帶來梅塢中。却傍梅花看。淸絶自不同。右梅塢滿酌黃花酒。起爲主人祝。盈盈新井華。泛泛仙潭菊。右菊砌藕花何的的。藕絲自綿綿。綿綿因百結。乞與同心人。右蓮塘蕭蕭不作林。短短纔成列。從今六十年。鳳凰來食實。右竹圃夜坐聞淅瀝。非風亦非雨。開門星月孤。聲在東巖口。右巖瀑岸沙明春雪。回潭漾澄瑩。𩿨行人不知。近水方見影。右沙潭嚲水色疑染。隨風勢欲流。長枝折在手。坐待叉魚舟。右楊柳堤燦燦茱萸實。歷年冀見服。小草一味多。無人垂采摘。右茱萸岸</text>
<title>次韻題素履亭</title>,<text>勝日憑高發興新。江山無主屬閒人。梅翁舊業留仙墅。桐瀨淸風寄釣綸。洛水園亭觀世道。康衢耕答天仁。烟雲別作傳家物。可是和花付貳身。</text>
<title>素履亭。奉次蒼石韻。</title>,<text>滿壁丹靑色。地誌云熊耳山。産丹靑樹。 玲瓏山木陰。愚蒼留勝跡。天地見題襟。湖海高風遠。烟霞痼疾深。登臨何限意。萬事已投簪。</text>
<title>素履亭八詠</title>,<text>雨後千峰頭玉嶢。晩來霞翠揷靑霄。山中蓍草看看長。知有靈龜錦作標。右熊山晩霞溪月娟娟漾碧灣。夜深人影在層欄。虛琴自發泠泠響。無限松風石溜寒。右伊水夜瀨屯雲疊疊護危壇。永日無風韻自寒。客到有時低掃跡。主人其下隱身看。右暎軒長松垂柳陰濃罨岸沙。東風擡擧好棲鴉。臨流不放顚狂絮。恐學仙源狡獪花。右挾岸古柳縠紋含影兩三枝。花發枝枝向水垂。姹女宿粧紅欲褪。洗多紅色半盈池。右倒池躑躅栽得紅蓮間白蓮。並祛雕餙自天然。花作衣裳葉爲葢。野人初服便光鮮。右出水芙蓉長郊秧馬簇如雲。素帕靑簑什百羣。最是扶蘓謠俗在。山花舊曲詎堪聞。右平郊農唱歸烏落日柳邊忙。挑擔高歌何處商。南人家近歌自樂。北人行遠悲故鄕。右前路商歌</text>
<title>松窩夜吟</title>,<text>把酒寒梅下。梅花開未開。素琴彈寂寞。明月爲徘徊。</text>
<title>素履亭。贈白華齋黃再叟。翼再</title>,<text>零落殘樽慰所思。燈花如喜又如悲。孤峰霧罷靑相向。老竹風多玉自持。天地無心玄髮改。江湖有約白𩿨知。今來不負溪亭月。三夜留君得一詩。</text>
