<title>往拜枕澗亭壺谷先生。拈韻命賦。己巳</title>,<text>雨霽梧桐葉。風輕楊柳枝。此間有眞趣。只應知道知。</text>
<title>與李禮叟，柳君獻遊佛巖。</title>,<text>閴寂淸齋客絶時。林間寒日送遲遲。仙僚忽有名山約。遊屐同尋佛寺奇。曠望雲山千里闊。遙攀苔棧百層危。更憐壁罅寒泉出。一勺曹溪勝酒巵。遊氣高搴日午時。緣崖攀木路逶遲。何來瀉壑幽泉冷。競起撐空衆石奇。客眼平臨鴉背逈。僧居孤伴鶴巢危。悠然共坐雲牕靜。隱几無言醉數巵。眼底湖山欲暮時。亂峯多處夕陽遲。遙臨漢水波光動。平對龍門石色奇。自笑幽情耽望遠。還忘病腳澀登危。良朋更與開襟抱。沃渴何須借百巵。</text>
<title>臨歸復用前韻</title>,<text>巖邊松逕立多時。選勝無妨步屧遲。物外相羊千慮靜。雲間談笑一遊奇。寺臨絶壑泉聲滴。峯揷遙天石勢危。助發祝融飛下興。濁醪聊復倒三巵。方丈翛然鼎坐時。禪居淸寂爲留遲。開巖結屋自何始。架筧飛泉亦一奇。樹影斜籠深殿暗。山光平挹畫樓危。斜陽暫共幽僧話。忘却呼僮煖酒巵。</text>
<title>佛巖紀行</title>,<text>峽路通人跡。崩沙認屐痕。寒冰垂絶澗。古木擁禪門。谷邃穿雲氣。山深到水源。胷中塵慮靜。相對澹忘言。</text>
<title>金正郞舜擧 琪獻 寄詩二律。次韻以謝。</title>,<text>高居遙在白山深。妙藝曾聞秀士林。顧我迷懵慚失學。逢君才雋荷傾心。風埃世味應如水。芻豢眞腴不換金。郞署未妨多靜暇。且將黃卷細抽尋。東城白雪萬家深。百朶紅雲繞禁林。憂樂難忘當世事。行藏粗識古人心。幽懷擬獲探淵玉。雅韻欣投擲地金。最荷慇懃情不歇。泮橋西畔日相尋。</text>
<title>齋中靜坐</title>,<text>東郊佳氣佛巖山。碧殿紅門萬樹間。白髮齋官塵慮少。仙園贏得半年閒。</text>
<title>禮叟來訪。是日雪。</title>,<text>羣山迢遞晩雲歸。坐聽林梢滴溜稀。雅韻欣君鳴玉佩。塵容愧我裂荷衣。潘郞白髮生秋興。蘧老行年悟昔非。但幸高人相眷戀。時來踏雪訪松扉。</text>
<title>又用前韻</title>,<text>漢水連天客未歸。不耐鄕關信息稀。半日仙園雲滿樹。東陵人到雪盈衣。宜從靜界談風月。莫向塵寰問是非。聞說玉泉林壑好。明春更擬款巖扉。</text>
<title>禮叟歸復寄一律。次韻以謝。</title>,<text>仙齋幸有玉人尋。數幅瓊琚復好音。滿壑烟霞欣對眼。三湖鷗鷺許知心。河關歲暮雲堪遠。旅榻宵寒雪更侵。悵望東鄰思不歇。一牕燈火費孤吟。</text>
<title>金舜擧又次鄙作一律以寄。復步其韻。</title>,<text>連天南嶺雪岧嶤。客館三宵耐寂寥。世險持心常戰懼。官閒無事可逍遙。深愁悶我遲香土。乘興尋君度石橋。惱殺一年今夜月。故園松竹正蕭蕭。</text>
<title>泮寓夜坐無寐。復用泮村卽事韻。</title>,<text>坐聽松風徹曉聲。滿空明月一天晴。久居林下常耽靜。暫住城中亦覺淸。素性自能安澹泊。菲才本不慕功名。平生獨恨行難到。千載相傳只敬誠。</text>
<title>夜坐鄕思。復用佛巖寺韻。</title>,<text>旅牕獨坐歲寒時。挑盡殘燈送夜遲。自笑素琴無俗韻。還慚碝玉渾珍奇。飛雲入望鄕園闊。亂雪漫空嶺路危。忽憶林居梅欲動。無人對月把淸巵。</text>
<title>又用直中鄕思韻述懷</title>,<text>人間無限有崎嶤。誰似雲林卧寂寥。耐送旅牕寒凜栗。愁看鄕路雪迢遙。何時夜興乘溪棹。不暇吟肩聳灞橋。愚病只堪歸去好。鏡中霜髮已疎蕭。</text>
<title>定齋先生惠詩一首。次韻奉呈。</title>,<text>廿載守林壑。出門今歲初。城市多囂塵。幽懷無與紓。遙遙隔親闈。落落離同隊。擧止自疎野。動作多拘礙。拙性厭追逐。深坊閉門居。囊中抽古書。獨吟聊慰余。但慚樗櫟質。何以酬聖恩。敬忠宜立本。禮義當定跟。恨無學明心。所往無由知。先生意拳拳。詩札寄箴規。固知歸乃安。非敢引爲高。春風一葉舟。漢水淸滔滔。</text>
<title>族弟少游 致游 用定齋韻投示。復次寄。</title>,<text>秋風渡漢水。荏苒臘月初。杜門簡交遊。幽懷不可紓。遙憶瓢溪中。良朋三兩隊。登高望故山。剛被浮雲礙。仙園萬木合。抱疾獨齋居。珍重詩與札。雅韻忽起余。自愧朽棄物。明時承誤恩。不願享榮利。惟思定腳跟。片心千里照。我懷君已知。師門更申戒。何敢負良規。布蔬不可厭。林壑非自高。緇塵染素衣。最怕流滔滔。</text>
<title>禮叟寄詩道相思之意。復歷訪索和。丁未</title>,<text>郊原融雪已和風。夕照人來古郭東。馬上遙知詩思好。林間常恨酒杯空。花慳禁樹春猶早。梅發鄕園信不通。更待杜鵑紅似繡。相攜爛醉北山中。</text>
<title>禮叟歸復寄詩。次韻走呈。</title>,<text>東西相望禁園淸。肅肅松杉靜不鳴。竹杖穿林欣日暖。遊絲罥樹看春生。難忘昨歲尋山興。每誦新篇擲地聲。別後那堪千里想。北巖花色夢中明。仙園迢遞近三淸。萬木陰中百鳥鳴。庭巷雨霑芳草動。溪山風靜暖雲生。韶光可耐添新興。雅韻誰能續舊聲。倚戶沉吟思不歇。已看林畔夕陽明。</text>
<title>獨坐齋中。復用禮叟韻述懷。却寄康齋直中。</title>,<text>盡日山齋默坐淸。林禽多事向人鳴。幽情忽自無中起。樂意還從靜裏生。寒木風和花動色。陰厓冰泮水添聲。閒居喜見春消息。一理循環到處明。</text>
<title>喜君獻來訪</title>,<text>睡起烏紗任整斜。偸閒獨自步荒涯。欣看再訪情何厚。聞道高居路亦賖。話去平生傾肺腑。披來詩什爛烟霞。佳篇尙有凌雲氣。休歎潘郞髮已華。</text>
<title>柳持平元用 宜貞 來訪</title>,<text>郞潛十載滯京華。白髮飄然映黑紗。半歲遊從情更密。相逢不覺日西斜。駝駱雲沉雪意寒。一杯相屬強爲歡。功名不是吾儕事。共趁春風渡渼灘。</text>
<title>次禮叟贈別韻。奉呈康齋淸案。</title>,<text>西來經歲隔親闈。湖嶺迢迢信息稀。素願豈求忠孝外。百年心事恨多違。淸齋涔寂坐淸晨。千里鄕愁正惱人。遲日暖風南嶠路。故園歸事趁芳辰。病中還覺一春忙。飄盡寒梅嶺外鄕。遙憶倚閭情更苦。歸心先逐白雲翔。</text>
<title>還家</title>,<text>綠陰鶯語日西斜。四月淸和客返家。穉孫見我牽衣笑。報道薔薇已放花。</text>
<title>輓金範五 富壽</title>,<text>頎然風度淡然襟。誰識休休吉士心。爲政在家敦孝義。持身於世不浮沉。公能繼述遺芬遠。我忝交遊舊契深。悵望河南山水裏。追懷陳迹淚難禁。</text>
<title>輓族姪仁叔 宅鎭</title>,<text>端方雅㓗自天姿。好義敦倫百行宜。可驗識深兼量大。狷能寬裕直能怡。三山五世襲箕裘。善述家聲屬望優。重被古翁勤敎導。精詳博雅更無儔。縱橫經史細論評。百世貫穿斷例明。每憶林居來訪日。聯襟宵話到鷄鳴。妙墨淸詞特緖餘。端居斂默避名譽。胷中蘊蓄人誰識。從事平生實若虛。幽叢泣露覆寒塘。帷幕陰陰晝掩堂。平日韋門花樹樂。凄凉還似海飜桑。</text>
<title>次金幼徵淡溪新居韻</title>,<text>碧山籬落水東頭。峭石寒林分外幽。最愛雲來簷下宿。更憐溪抱屋前流。詩書有味眞堪樂。靑紫雖榮不足求。靜裏著工應更篤。愛君心事轉休休。</text>
<title>輓族兄 致韺</title>,<text>三峯回首事堪哀。忽聞吾公復夜臺。俗眼誰知葱闕寶。空山虛老棟樑材。風流笑語何時奉。月外僑棲不復回。愚蒙最荷承深眷。先契追思痛莫裁。</text>
<title>輓京老</title>,<text>卓犖可隱翁。鍾生千人傑。孝友出天性。聰明自照徹。方當英妙時。流輩無相埒。巨筆奮長杠。談笑出䧺絶。矯矯整勁翮。意欲浮雲决。彷徨汶泗上。佩纕何脩㓗。咸期廊廟材。擬補構廈缺。塵埃恥趨營。名利固不屑。空山歲華晩。結屋倚嵽嵲。冥濛桂樹林。隴雲獨怡悅。洋洋諷典訓。抗身依往哲。家門襲遺範。函丈承眞訣。磨礱去圭角。堅厲遵軌轍。恢恢大力量。落落樹風節。眞源㴑朱退。學術辨宗孼。講討日不足。義理益昭晣。微言劈毫縷。沉思透鍵鐍。知行迭相資。安重無卼。文章勒一家。古人堪頏頡。彬彬理舊緖。賢弟更承列。侃侃擊羣蒙。痛快一摑血。儒林望儀表。宗族祝耆耋。那知一朝間。隆棟忽傾折。平生許知己。眷眷憐愚拙。前年訪高居。相對瀉鬱結。沉吟十年疾。自力猶飮歠。僮驢送我行。惆悵惜離別。凄凉花樹軒。遽驚人琴撤。巋然魯靈光。愛嚮情彌切。秋風赴京國。千里渡淸洌。相思隔參商。湖嶺已飛雪。遙遙夢魂馳。戀慕如飢渴。鄕書報惡音。慘慘心肝裂。芳春返故山。杜門困喘噎。驚聞遠日屆。玉樹藏幽穴。回頭憶舊事。欲言先嗚咽。茫茫訣千古。淚盡悲難洩。</text>
<title>輓雲谷李判書 羲發</title>,<text>先朝遺老在。文雅早揚名。一世尊三達。高官列六卿。空勞懷德義。長恨隔儀形。悵望丹旌遠。秋雲暗錦城。</text>
<title>輓金聖觀 庚戌</title>,<text>雅望瑰材一世髦。剛明英邁挺人豪。百年家學屛銘在。六郡治聲棟栢高。每惜星霜添白髮。方看天渥染緋袍。故山松桂猶無恙。金玉精光遽忽韜。旅櫬歸來漢水潯。溪堂寥落月空臨。民思杜召悲湖邑。人折翹英悴士林。靑峽何時尋舊約。素琴無復遇知音。從今吾黨將誰賴。長憶淸儀淚滿襟。相逢到處足風流。傾倒心肝二十秋。永夕杯樽談石墅。良辰歌笛詠松樓。飛雲散雨芳塵歇。流水高山往躅留。擬趁春晴孤棹去。何心獨上石門遊。</text>
<title>輓族孫大汝 泰永○辛亥</title>,<text>文行吾宗十世傳。欽君能守舊靑氊。繁支自有賢愚雜。一口爭稱冢嗣賢。怡然終日物無攖。犬馬那聞叱咜聲。皁隷亦知心不忮。平生仁恕復公平。幼孤樹立秉心專。爲學治家事不偏。漸見及人功化大。一村文雅更彬然。滔滔揮筆自成章。十稔長看置溷墻。可惜藝成身不老。竟違雲路一翺翔。追憶先公廿載前。相期斯學共劘硏。傷心往蹟無尋處。只慰君能緖業傳。前冬相別儉溪潯。要寫南塘夙夜箴。敬惕隨時寧放過。期君傳得古人心。纔聞微疾乍吟呻。竟失吾家席上珍。痛惜斯人如可贖。千金軀敵百夫身。閒庭苔色小梅淸。旌烈碑南舊屋楹。何日復看人似玉。溫然含笑下階迎。</text>
<title>溪亭前臺。植紫檀香。忽忽四十年。老榦樛屈。吾亦已白髮蒼顔。覽物興懷。聊吟一絶。</title>,<text>巖臺手種紫檀香。已作龍蛇百尺長。樹老無情人易老。白頭悄坐對靑蒼。</text>
<title>溪亭卽事</title>,<text>巖壑烟霏晩不收。微風蕭爽一林脩。淸溪日照空如鏡。坐數魚兒作隊遊。</text>
<title>溪亭待族弟必雲 致溥 不至</title>,<text>幾疊靑山暮。迢迢暝色愁。思君君不至。深夜獨憑樓。</text>
<title>輓信庵李丈</title>,<text>湖山天運復。羣彥仰門墻。直訣承三老。文儒見再昌。聰明生接武。聞見學傳方。世業留餘蔭。天資稟太陽。詞林曾掉鞅。函席蚤升堂。落落持心遠。孜孜用力彊。風標超俗士。材器可巖廊。歲月驚頹晩。山林穩退藏。微言竆洛建。餘敎㴑羲黃。往喆如朝暮。羣賢共頡頏。推尋睹蘊奧。論說務亭當。節目分毫縷。宗元擧領綱。牛蠶工轉密。芻豢味逾長。蘊寶寧無彩。摛文自有章。錯綜光錦繡。鏗戛響琮璜。一室詩書靜。孤亭草樹荒。高名聯棣萼。晩計付松篁。末學歸師表。儒林屬丈行。正顔瞻儼恪。接物感慈詳。所仗只忠直。何傷有毁謗。尊賢胸受箭。嫉惡怒形臟。坦裕恢心量。堅強立脊梁。媕婀羞俗態。磊落繼前光。謏陋曾何取。精微許共商。偏承垂敎誨。更荷眷疎狂。秦晉重交好。芝蘭久襲芳。相期千古上。長擬百年強。倚伏人誰詰。存亡事可傷。我悲珠樹折。公慘玉蘭戕。患難情冞篤。漂移宅近傍。溪山聯步屧。朝夕對經床。隱趣蒼林邃。生涯白屋凉。高朋時命駕。村秀競擔囊。事往心無滯。年衰氣益康。人情多錯迕。家緖轉蒼茫。素髮添垂領。玄經漸積箱。困竆逾曠達。畸獨更軒昂。大故蒙憐恤。微忱益仰望。周旋寧敢怠。憂戹每相將。一別山川隔。三年日月忙。空勞瞻玉峀。常恨卧淸漳。每祝凌霜栢。還驚變海桑。堙蕪憂學絶。殄瘁痛人亡。厚誼終難負。深恩詎可忘。新阡遙悵望。零淚獨霑裳。</text>
<title>輓國輔</title>,<text>獨坐林堂靜。思君君不來。無人同賞詠。春意上寒梅。一思淚自垂。二思膓更結。思君以自悲。老我轉畸孑。好我若嗜欲。來往無寒暑。累日不相見。悵然爲延佇。相見無雜語。書卷在中間。有疑或皺眉。有契輒怡顔。對讀寒泉錄。增刪看更了。相期共躋攀。此道非玄妙。有味如芻豢。十年誦論語。恪守師門戒。竆困無摧沮。端詳人共愛。剛立復誰識。飢寒轉到骨。讀書猶專力。舌端無是非。心上忘榮利。吾家有事業。庶不渝素志。志業未及就。那知中道折。晨牕報惡音。一慟肝欲裂。君還永無期。我老將誰倚。空餘舊詩札。片片留靈几。</text>
<title>村居</title>,<text>羣山𡺚崒入晴空。隔水人居烟雨中。領盡一年春色好。梅花風後揀花風。</text>
<title>訪友于李丈。次賞菊韻。</title>,<text>木落蘭腓秋思哀。獨憐佳菊爲徘徊。寒英燦燦東籬下。不怕西風捲地來。</text>
<title>溪舍卽事</title>,<text>絶岸千年樹。高亭四面風。笑談林樾下。坐卧水聲中。富貴非吾願。溪山寄此翁。幽居甘寂寞。不是慕虛空。</text>
<title>族姪乃構 肯鎬 見余秋興之作。歸次一首寄來。極慰病懷。又和二疊。</title>,<text>紛紛黃葉夕飈斜。雙鬢飄然已半華。芒屩頻廵芳菊圃。瓦盆深護古梅査。溪山爽氣侵虛幌。天地商聲入暮笳。忽得博羅詞綵好。披看如括病眸花。蕭瑟園林暮景斜。衰齡容易送年華。苔含冷潤生新繡。樹斂芳蕤返古査。自歎山居鄰木石。欣聞瓊律勝琴笳。伊來但恨追遊少。楓菊彫殘已六花。</text>
<title>輓族兄來鳳 致球</title>,<text>小隱亭空落木寒。翩翩丹旐向靑巒。西風更惹哀情動。不耐黃花淚眼看。方谷家中舊學傳。埜翁門下受眞詮。羣書過目皆成誦。邃識精思自少年。偉奇倜儻邁凡曹。竆困何曾撓素操。師敎家聲能不墜。議論高處腳跟高。素位安貧六十春。山居寂寞與誰鄰。暫遊璧水非吾好。拄腹詩書獨自珍。愚陋曾蒙眷誨多。衰年長擬共磋劘。邇來闊別猶堪恨。千古茫茫更柰何。</text>
<title>兒子弘鎭種樹於南臯。是夜雨。乙卯</title>,<text>癡兒強解事。手種千株樹。半夜隔牕聞。一山響疎雨。</text>
<title>拜南棲叔墓</title>,<text>松栢陰槮落日凉。翠莎萎盡石苔長。誰知寂寞竆泉骨。曾有淸文滿肺膓。</text>
<title>亡兒能鎭年前手種梅花於牕外。祥後二日花發。丙辰</title>,<text>小梅當殯戶。春色獨重回。玉雪人何去。冰霜爾自開。淸香喚淡暗。疎影訝徘徊。繞樹空垂老。詩成肝已摧。</text>
<title>七夕偶題</title>,<text>巖畔松扉晩不開。一庭微雨灑蒼苔。閒居守我平生拙。懶向天孫乞巧來。</text>
<title>溪亭秋夜</title>,<text>林亭高卧聽秋風。回首塵寰百慮空。獨有存亡人世感。良宵高枕水聲中。</text>
<title>眞安倅金凡叟 周敎 將歸。以二絶奉贈。</title>,<text>六年仙郡幸遊攀。琴鶴行裝一夕還。悵望玉泉雲壑裏。九秋佳約負名山。與凡叟約共遊鳴玉巖。余病凡叟賦歸。秋風匹馬去翩翩。惜別那堪意惘然。遙憶盤川烟水闊。扁舟無計共洄沿。</text>
<title>眼花</title>,<text>少日雙眸炯。昏疼自去年。親朋難認面。晴晝訝生烟。玩閱寧爲祟。哀傷或自煎。從今遺萬事。靜卧北牕眠。</text>
<title>李馨彥 鍾德，安景玉 鈺，禹叔範 箕準 來留林齋。馨彥作一絶。次示諸君。</title>,<text>寒齋寥寂在林東。喜見諸君住此中。誦讀琅然聲在耳。紙牕燈火夜深紅。好善眞如萬折東。元初此性聖愚同。莫將道學爲高遠。只似男耕女習紅。雙公遺弊蕩吾東。誰復超然慾浪中。我輩自有閒界事。繁華休戀軟塵紅。</text>
<title>鳴玉巖。次壽靜齋韻呈殷老。</title>,<text>珠玉琮琤雪更霏。橫飛噴沫灑人衣。悠然共坐奇巖上。日暮烟沉未肯歸。澄江一帶映山門。白石淸泉遠世紛。何日能成巖畔屋。鏘鏘水樂枕邊聞。白石臺高對碧峯。寒厓花發擁千叢。醉倚危巖消永日。閒聽飛泉響遠風。</text>
<title>申伯翰與眞安諸友遊鳴玉巖。次其韻寄呈。</title>,<text>澄江遠遠水涵天。更出飛泉百尺巓。曾借龍公披茂草。憶陪鳩杖破荒烟。芒鞋遍踏千巖勝。茅屋方謀一壑專。喜有羣賢追賞詠。聯篇佳作競流傳。</text>
<title>次風乎亭八景韻</title>,<text>百丈撐空曉色微。巖雲谷霧翠霏霏。須臾變彩成紅錦。坐認金鵶出海飛。九峯朝霞紅輪低掛碧峯西。度水層陰夕靄迷。一枺斜光橫遠浦。雲閒風定鳥還棲。孤山夕照坐聽宮商峽裏生。飛湍激石響難平。最宜巖榭秋宵靜。添得騷人意思淸。虎川鳴灘萬樹繁陰挾一川。烟濃繡錯暮春天。和飈忽伴鶯聲至。喚起遊仙枕上眠。鵝村長林江棧遙連海路悠。東西交會兩三州。來來去去緣何事。終日紛紛苦未休。大路行人𦱄蒲洲畔一燈明。濊濊施罛細有聲。不管漁丁囂得雋。遙看紅暈碧波橫。遠浦漁火老樹森森護一堂。香枝密葉夏猶凉。歲寒益愛凌霜色。水綠山蒼共鎭長。栢林淸風寒江明月最宜秋。無限澄光水面浮。千載傳心誰復識。一般淸意此中留。澄江霽月</text>
<title>晩愚亭落成韻 丁巳</title>,<text>臨江書屋賀初成。來聽循除玉澗鳴。萬古峙流兼壽樂。一天光霽驗明誠。巖姿晩對簷前秀。雲影朝看鏡裏生。共說神明扶豈弟。斯文永主百年盟。</text>
<title>輓族叔而玉 珩文</title>,<text>吾林固多士。文質鮮能兼。樸野病椎鈍。詞藝或沾沾。公爲門族望。制行先愼謙。天資稟忠厚。靜默韜鋒銛。師門幸同閈。蚤受頂門針。晨夕侍函丈。濡化長被霑。經書若嗜炙。論說劈毫纖。求精必探賾。貴要毋颺甜。秪知在我重。詎恨沉竆閻。居家衆行篤。周裕無斜尖。劬勞奉親長。氣貌常安恬。待人溢誠悃。懇款如醪酟。愚憃久屬意。玉石互磨磏。相對澹凝矚。不語心猶猒。講討必聯席。每服微義拈。淸詩寄巖扃。雅艶無滯惉。吟醻九日什。聯疊爛盈槧。遙期百歲間。麗澤限嵫崦。家門運氣惡。我良忽摧殲。尊翁垂八耋。腸寸日燬熸。餘齡誰盡孝。臨絶空自讝。賢郞見星還。毁瘠委塊苫。可惜才姿美。芳歲艱危阽。幽明俱可慘。觸境哀悼添。最恨愚舍就。堂室淨且廉。每擬陪杖屨。雲牕共留淹。從容承敎誨。頑愚獲訂砭。山水樂動靜。鳶魚玩飛潛。顧眄公不須。含悽對書籤。化者日以遠。倏忽送烏蟾。遷靈向山北。悲風閙霜蒹。萬事已亡羊。那復爲蟨鶼。忍病寫哀詞。流淚空漸漸。</text>
<title>輓李德翁 邁秀</title>,<text>滔滔末俗婾。爲士鮮能立。廉隅蕩以壞。流波漫相襲。嗟嗟我德翁。孤介堅所執。操心厲高㓗。律己耐苦澀。函筵受旨訣。十年來負笈。禮義修佩纕。經訓嗜胾湇。萬變若浮雲。一意在傳習。戰戰遵繩墨。孜孜𨀣階級。空山忍竆餓。竆鳥不啄粒。西湖但梅鶴。裘餁無資給。畸孤迫囏窶。澹然不憫悒。閒臨碧澗瀉。默瞻商峀岌。靜坐若枯禪。慕古修綆汲。前年赴南島。弊褐飄海飁。端拱復矩步。千里竆原隰。世人莫嗤笑。吾輩眞難及。隆師與親友。信義胸懷戢。愚蒙濫廁後。自喜高風挹。拳拳托心期。時來慰病蟄。對榻款笑語。竆夕討編輯。新秋宿愚亭。共聽巖溜潝。佳篇紀勝事。和唱爛成什。冬來約再遊。別袖林邊揖。那知人事改。奄忽石火急。憶舊雙淚逬。浪浪衣袂溼。曾祈壽且康。見君家事集。友軒庶重拓。澗亭期綴葺。一身百難贖。緖絶誰復緝。幸君宗族盛。餘塵當綴拾。緘辭送窀穸。悵望空嗚唈。</text>
<title>次松亭韻 幷序○戊午</title>,<text>眞寶縣南。有村曰松江。前有石臺陡起。爲一縣佳勝。人稱趙松亭。按縣誌文貞公趙庸在國初。官至禮儀判書。世傳公嘗作亭遊息於此云。公謫居醴泉郡。敎授生徒。尹祥，裴杠等皆出門下。退陶先生嘗有感於趙尹二公事。有詩曰性理淵源未易明。襄陽稱道二公名。如何著述無傳後。景仰高山獨感情。在先生時。已有著述無傳之歎。况今四百載之後。又安得以攷尋其影響。而觀於淵源稱道之語。景仰高山之句。公之賢。槩可知已。今其藏修遺跡。蕪沒不可認。而金漁川舜龍有臺上丹靑映碧波之句。當日亭館之勝。又若可見。致皜亦嘗一過其地。慨想前塵。歲丁巳秋。申君伯翰與金上舍晠世 庭瑞，金敬彦 養翼，申彝仲 秉欽 諸公。共遊于此。次金漁川韻各賦懷古一絶寄示。致皜謹次其韻。更用老先生韻一絶。幷寄伯翰諸君。老石參差水漲沙。喬木層臺蘸碧波。百歲遺塵何處見。空留明月照蘆花。往蹟茫茫孰闡明。陶山曾慕趙公名。登臨昔日藏修地。百世那堪景仰情。</text>
<title>遊中峯</title>,<text>高臺遙出白雲間。六曲澄江萬疊山。曖翠浮嵐連海氣。孤峯危壑隔塵寰。朋來共御天風去。興倦長隨夕鳥還。何日搆成巖下屋。一床經籍掩柴關。雙峯高秀列崔嵬。斷麓南城江上臺。萬疊迴環羣峀闊。重洲迢遞碧波來。雲烟浩浩胷襟蕩。浦溆茫茫眼界開。更約良朋凌絶頂。臨風一笑倒三盃。</text>
<title>趙景章 厚淳，申伯翰要余共遊雲水洞。林生象鏞備夫馬再到。病不能往。寄詩以謝厚意。</title>,<text>追躡良朋擬一遊。白雲流水興悠悠。還慚老疾成魔障。蘇肺輕身又待秋。晝靜山牕懶不開。衰年百事轉摧頹。堪歎坐負慇懃意。辛苦林生再度來。</text>
<title>輓雪竹李丈 己未</title>,<text>雅質貞姿世孰齊。湖山家學早攀躋。竆廬獨有如杠筆。函席曾聞入道梯。士類于今堪楷式。孤蒙隨處賴提撕。可憐雪裏靑靑竹。瘦節高撐壓不低。憶昔於山對一床。懵愚曾忝講筵傍。文章題品論逾闊。名理究探意更長。幸賞孤琴垂眷敎。偏憐塵世獨彷徨。此生無處重承誨。望遠那堪涕淚滂。</text>
<title>敬次栢湖亭重修韻</title>,<text>舊亭重搆碧岡頭。百世遺芬此地留。寶匣絶絃誰理韻。白雲流水見興丘。漢潭潦盡波開鏡。藥水秋淸月滿鉤。緬想眞源那可泝。東江長擬泛扁舟。洪木齋輓存齋先生云曾向興丘訪隱淪。白雲流水失斯人。</text>
<title>會晩愚亭。與金泰叟孟實，族弟少游共賦。庚申</title>,<text>暇日登臨江上臺。百年幽抱一時開。潭心水暖金鱗泳。林外沙明白鳥迴。雨後方看羣物喜。山中仍有可人來。虛堂伴宿淸無寐。一笑添燈倒酒盃。</text>
<title>翌日又共賦一律。以寓相勉之意。</title>,<text>輕雲江上散澄陰。坐對蒼屛盡意吟。一席良朋詩共話。三春佳興酒頻斟。時値煖風堪眺望。天開幽境許登臨。吾儕自有師門旨。更願閒居著力深。</text>
<title>病中感吟 辛酉</title>,<text>邇來雙鬢雪飄然。孤絶身心獨自憐。陋見不知今古異。一生依附在陳編。</text>
<title>陶齋拈芝谷集韻聯句</title>,<text>高秋陶社會。江上雨新晴。東林。 楓葉霜餘翠。巖姿雲外呈。龜陰。 討論書溢架。酬酢酒盈罌。林。 一鑑潭心靜。千層岳勢嶸。龜。 明沙穿蠟屐。淸瀑濯塵纓。林。 老菊花將綻。疎簾月已橫。龜。 高山欽往躅。眞境愜幽情。林。 栗里風猶在。匡廬地擅名。龜。 遺墟千古石。大義百年程。林。 尸祝尊庚壘。衿紳集魯生。龜。 危巖看卓立。崇宇愔經營。林。 且喜遊衡嶽。何須揖衛卿。龜。 禽魚知樂意。風月助詩成。林。 滿袖淸嵐滴。醒心暮磬鳴。龜。 榻聯三夜宿。胷絶一塵萌。林。 鷺夢懷高趣。鷗沙有宿盟。龜。 雲深金華社。山邃富春耕。林。 玉樹依餘馥。箯輿已再迎。龜。 寒松瞻舊色。落木聽秋聲。林。 歲暮幽期在。臨分勖邁征。龜。</text>
<title>定齋先生輓 四首</title>,<text>正學承遺緖。先生復得宗。諸經探蘊奧。至理在常庸。坦易非難睹。高深恨莫從。餘生慚負敎。平昔眷愚憃。心全無欲累。觸處藹眞衷。溫愛親疎徧。莊嚴表裏同。義精竆達際。禮適古今中。已矣斯文喪。公私不盡恫。篤敬兼忠信。孜孜八十年。性眞全所秉。心法得相傳。節義竆彌著。聰明老不愆。平生開繼業。歷落在遺篇。陋質承親炙。靑童到白頭。一心憐命釁。隨事勉竆修。救護恩難報。提撕意莫酬。茫茫千古訣。惟有淚橫流。</text>
<title>壬戌六月。會校古窩集于中平齋舍。與殷老申伯翰共次集中韻。</title>,<text>曾聞斯道匪幽深。萬化紛綸管此心。要向源頭探妙妙。須看天下布林林。函筵牖迪言猶在。朽質衰遲病已侵。對讀遺書增感愧。幾篇精義緖難尋。</text>
<title>輓詞[李源祚]</title>,<text>堂廡靈光巋反求。斯文千古邈前遊。周旋每在平常地。負荷先從朴實頭。吾輩幾今無白髮。餘生何日更靑眸。霧花經卷悠悠恨。書帶空山赤葉秋。淡水幽蘭臭味同。如雲會合轉頭空。愚亭夢過懷樑月。浿館書留寄席風。余在西邑。聞公不仕而歸。因人寄訊引掛席秋風之句。 德義自能安澹泊。文章元不費磨礱。祠官太窄招賢路。重歎吾林氣數竆。</text>
<title>輓詞[李彙載]</title>,<text>晩來纔識面。地近欲相親。辭爵成高隱。劬經養本眞。非關山外事。只作卷中人。謾說前期在。追思益愴神。</text>
<title>輓詞[金光壽]</title>,<text>愚亭梧竹夕陽邊。秋老巖臺欲二年。築室不如操几杖。侯芭歸講子雲玄。天爲斯人賦不慳。豐姿偉器重於山。胷中隱隱英豪氣。時露吟哦笑語間。揭壁威如先訓明。居家日用更和平。春風自在蘿亭畔。消盡傍人鄙吝萌。早謝兒曹一例忙。峩冠華佩步趨長。萬杉蒼翠喬山路。林下人來作寢郞。珍重一生任道心。幽探萬化儘居林。欲尋矜字無由見。莊敬從來得力深。東南儀表屬望誰。平淡文章秉筆宜。前去八旬惟廿歲。更看年德定翁時。千里比肩一士多。岐山淑氣現曇華。高材茂行吾猶見。流涕何人墓碣摩。靑陽追躡髩如絲。德義風流是我師。剛恨前秋陶社月。短篇相和更無詩。</text>
<title>輓詞[李庭雲]</title>,<text>岐山淑氣挺人豪。百鳥林中見九苞。進進工夫循閫域。溫溫風味醉醇醪。蒲輪暫屈東岡志。絳帷長懸北海宵。去歲愚亭樑折日。猶看衣鉢不寥寥。</text>
