<title>詠月 壬子</title>,<text>月出扶桑東。淸光四海同。長風吹不盡。頃刻到天中。</text>
<title>又次坡字韻</title>,<text>挑燈讀古史。淸響滿東坡。簾捲山如畫。庭閑杏自花。乾坤春有喜。風雨夜聞多。歸路馬前濶。憑欄發浩歌。</text>
<title>疊次扉字</title>,<text>小屋凉如水。閑看月入扉。詩今有神助。春亦逐人歸。紫蔓牽風弱。靑笋得雨肥。騷壇一塲戰。誰敢解重圍。</text>
<title>疊次坡字</title>,<text>洛陽二月客。長嘯上長坡。風颭侵墻柳。香傳隔水花。故園歸夢數。新詩酬日多。擧世渾巴曲。不知白雪歌。</text>
<title>三疊扉字</title>,<text>澹然無一事。乾坤獨柴扉。滿意溪花發。如期社燕歸。春噓庶物茁。國泰萬民肥。雨後看山色。餘霞碧作圍。</text>
<title>三疊坡字</title>,<text>孤村春欲半。整履步靑坡。泉石終成癖。杯樽不負花。詩從晩樓得。山抱夕陽多。醉後人歸盡。嬌鸎欲習歌。</text>
<title>次稀字</title>,<text>洞裡無金鑰。自然俗客稀。生成元物理。花葉是天機。世降人多薄。春深鳥競飛。衡菴情不淺。投韻到荊扉。</text>
<title>又得坡字一律奉呈。以索瓊琚之和。</title>,<text>雨歇天如洗。韶光入遠坡。千山同喜氣。萬樹忽明花。妙理從心得。新詩滿腹多。陶然成一醉。不覺自狂歌。</text>
<title>夜中有懷。吟一律。忘拙書呈。</title>,<text>露垂簷影靜。寒氣動高堂。春晩花如㥘。風輕柳不妨。孤燈每獨語。中夜自多傷。無計奉淸眄。相思月滿墻。</text>
<title>次七律</title>,<text>玉京春日幸披霧。劌鉥新詩見數聯。別後韶光看欲晩。眼中愁緖更過千。鳴泉在樹長懸雨。遊氣籠山自作烟。月掛墻頭花寂寂。思君不見獨茫然。</text>
<title>次音字</title>,<text>弄曉黃鸎載好音。霧中春樹色沈沈。三旬遠別頻成夢。百里相懸獨有心。捲幔山將新月入。閉門風送落花深。丁寧會面知何日。待得淸秋匹馬尋。</text>
<title>懷衡菴</title>,<text>不見衡菴久。其如春色何。小桃隨處發。明月向人多。世事惟長醉。深愁集短歌。相思意無限。夜靜落燈花。</text>
<title>與衡菴夜話團欒。仍呈五律二首。索和。</title>,<text>幸承聯榻晤。譚笑到天明。山帶月光靜。禽將秋意鳴。襟期本無累。神氣自然淸。霜菊向吾發。相看不世情。其二偶來竹西谷。秋滿故人庄。綠酒能浮月。黃花不怕霜。光陰負事業。身世任淸狂。曉起推窓看。天邊鴈數行。</text>
<title>記夢寄申有道 並序○戊午</title>,<text>昨夜夢上一樓。樓高接天。眼界軒豁。吳楚燕齊。若盡在於襟帶下。然復有大江橫前。直衝欄干而過。危樓兀兀。水色沈沈。臨欄俯瞰。杳杳若墮於其中。殆不可久也。明沙若雪。素月如練。海棠亂發。十里聞香。樹葉皆楓。秋光溢目。蒹葭白露。漁歌唱寒。蘆花秋水。鴈陣驚秋。景物之勝。直可與洞庭湖岳陽樓較伯仲矣。上有四五文士。摻墨弄觚。探韻迭酬。而皆余所未甞識者。獨憑欄干。浪吟一聲。忽爾驚覺。向來烟霞。都寂寂於枕上。江山勝景。尙森森於目前。吟成短辭。略記顚末。玆敢奉呈。以資卧遊。步韻以還。如何如何。噫。余近者冗故埋頭。了無一分踈致。而今此無限好箇江山。來入於夢。何故也。天其憐我沈困塵凡。使此江山風景。洗滌之於夢中也耶。抑時危世亂。長有物外之志。故因思想之極而發之於夢也耶。又思之。方其夢也。則遊覽之娛。江山之興。歡極於目。樂極於心。及其覺也。則枕席寥寥。塵思交侵。不復有向所謂無限江山之樂也。則世間之浮沈靑紫。方在一大夢中。而不知覺也者。亦如此歟。以是推之。則榮枯得喪。皆不足以介吾心也。泥塗軒冕。亦不足以易吾志也。行當謝棄世慮。遨遊物外。長爲覺大夢之人。而踐吾昨夜之夢。衡菴以爲如何哉。倘欲共之。亦在衡菴而已。量而示之。有高樓有高樓。樓上白雲。樓下明月。前有長江深百尺。淸波羃羃搖寒閣。海棠花開船過岸。滿江秋色。一聲漁笛。詩聲動白月。酒韻醉紅葉。相顧不相識。日暮憑欄立。忽發長歌驚白𩿨。寒汀格格雙飛急。</text>
<title>寄有道</title>,<text>歲月今年非去年。工夫去年似今年。年去年來長似此。夕陽樓上意茫然。</text>
<title>春曉有懷。成短律。己未</title>,<text>夜色寧長久。重陰轉向晨。鍾鳴萬戶動。雨過一城春。物色皆新意。棲遑笑此身。功名吾自有。何必歎長貧。遑一作遅。笑作獨。</text>
<title>寄衡菴 己未</title>,<text>此歲餘三月。沈工勉五車。乾坤付事業。時序恐蹉跎。歸鷰天機熟。征鴻塞路賖。夕陽無限意。搔首問秋花。</text>
<title>又以期字奉呈</title>,<text>不廢峩洋曲。知音有子期。純陰是月也。飛雪又加之。尙作龍蛇蟄。遂爲燕雀欺。一陽知不遠。生意隱梅枝。</text>
<title>更得兩絶要和</title>,<text>燈前讀書響。床下草虫聲。殷勤小窓月。曉風相與淸。其二不見故人久。居然歲律暮。襟期何處照。雪月明如素。</text>
<title>閑中得數絶書呈。以資一笑。辛酉</title>,<text>深深槐柳午陰淸。隔水幽花照眼明。殘夢欲成還自覺。一聲簷鵲語新晴。其二梨花初發柳花飛。樹梢纖月露新暉。越女嬌歌停錦瑟。隔簷紅燭照依微。其三別院深深客到稀。茶香煑罷篆烟微。閑庭翫月移時立。偶折花枝揷鬢歸。</text>
<title>寄有道</title>,<text>佳辰淸興十分多。垂柳長街走馬過。半醉弼雲臺上坐。春風縱看滿城花。</text>
<title>戱擬正陽子謝細君魚酒之饋 甲辰</title>,<text>低垂神氣着寒灰。起對佳羞眼自開。淡胃應驚丙魚擲。瘦容乍展卯醺來。慚無方朔遺君肉。但學劉伶引婦杯。回首屋中聊一謝。陶然就枕日西頹。</text>
<title>奉和外舅直菴先生寄示韻 辛未</title>,<text>却自雙鳧下仙邑。一秋淸夢繞金剛。何時遂此東遊願。湖海平分上下床。其二金丹一粒壽民方。治在公明政在剛。想得琴軒無事日。梅花閑傍讀書床。</text>
<title>書末次來韻。却寄尹殷叟 衡老 丈。己丑九月卄日。</title>,<text>俯示詩什。尤見眷意之深。三復以還。不任感荷。聊此率爾和呈。以博枕上一粲。雲山深處養閑身。滿架圖書樂意眞。聞說安窩方有愼。小車孤負草如茵。草如茵處小車行。卽康節詩。故及之耳。</text>
