<title>曉坐次屛上韻 十四歲作○戊子</title>,<text>鷄聲處處起。曉色分遠樹。片月半銜城。春雲忽欲雨。</text>
<title>因看審庚戌海溢處。作遵海之行。路中漫成。</title>,<text>逶迤村路一鞭輕。鳧鴈羣飛布穀鳴。西浦晩潮疎雨急。南湖春水澹烟生。七坊遍踏滄桑地。十載深憐畎畝氓。登岸涉橋來復去。亭亭落日下孤城。</text>
<title>君子亭。與兒輩呼韻共賦。</title>,<text>南湖多綠水。中沚有紅亭。浪急花生白。洲長草接靑。機隨閒鷺忘。詩許老龍聽。嘉會欣鳧藻。斜陽滿遠汀。</text>
<title>南池聯句</title>,<text>南池名勝冠西州。翁。 鏡面晴波澹不流。十里靑連芳草岸。奭周。 中洲紅暎夕陽樓。蒼茫海色遙空盡。吉周。 撩亂禽聲遠樹浮。輕棹更期秋月夜。顯周。 荷花菱葉滿塘幽。翁。</text>
<title>長兒直閣歸路。寄詩其仲季。以道離懷。見卽步韻以寄。</title>,<text>私情且莫駐征輪。催上金華侍講親。致君堯舜方爲孝。肯把離愁更惱人。</text>
<title>向夕</title>,<text>向夕凉秋氣。深憐麥熟風。槐陰濃晩翠。藥萼艶新紅。待月從東至。看雲到遠窮。官齋時闃寂。不妨坐衰翁。</text>
<title>賞南大池荷花。漫成一律。</title>,<text>紅花翠葉大池浮。平滿東西十里洲。八萬羽仙朝玉闕。三千妝女舞瓊樓。醺人香氣渾如霧。濯熱淸風爽欲秋。此賞人間能幾處。今來自幸守玆州。</text>
<title>七月旣望夜。登君子亭。二首</title>,<text>乘興上湖亭。秋荷極望平。殘香猶萬斛。滿月正三更。露下華筵冷。風來病骨淸。今宵爲我有。造物解高情。南湖佳賞喜新秋。荷月無邊夜轉幽。極浦風來羅袂擧。長天雲捲玉輪浮。香能浹骨寧謀酒。樓似憑虛勝泛舟。時日偶然同赤壁。傍人錯比老蘇遊。</text>
<title>衙中雜詠 四首</title>,<text>雨歇星河淨。流螢度樹梢。滿園秋色至。獨立意蕭蕭。雜卉多佳品。秋開色色花。芳春問何處。老圃足繁華。無名野草花。爛爛還堪賞。緬懷隱淪者。復有誰知奬。海上多風雨。古城晴日稀。歸鴈一聲裏。紛紛落葉飛。</text>
<title>庭前枳樹結實向熟。黃碧可愛。二首</title>,<text>憐渠何日渡淮南。異馥猶餘好樹參。綵毱團圓枝上轉。金丸灼爍葉間含。叢荊難得棲鸞鳳。嘉實還堪亞柚柑。更有奇功胷膈豁。寧須品別味辛甘。秋入西庭枳樹靑。葉心團實似金鈴。紅茱交映相增色。皁莢齊垂各賦形。童子拋承成劇戲。衰翁把撫愛新馨。轉丸却憶堯夫弄。滚滚玄機不暫停。</text>
<title>秋懷</title>,<text>延州秋色轉蕭疎。月淨河明海氣虛。歸鴈橫空雲作字。流螢繞樹葉成書。浦城夜永懷兄夢。官閣燈懸望子閭。白髮多慚塵下吏。浩然何日臥吾廬。</text>
<title>與齋儒初設講會於校宮。賦得一律。</title>,<text>黌堂秋日淸。玆會喜初成。風定波濤晏。雲開洞壑明。薄醪猶有禮。古卷最多情。徒讀知無益。諸君願力行。</text>
<title>伯氏到松營日。將爲拜謁。晩發渡津。宿村舍。</title>,<text>孤篷百尺坐悠然。潮滿長洲月滿船。萬頃空明通白日。四邊寥廓接蒼天。起聽鳧鴈驚人叫。俯瞰魚龍抱影眠。帆外松岑靑漸近。秋宵浦屋度如年。</text>
<title>次兒輩登園韻 二首</title>,<text>雲兼滄海浪。雨洗碧山埃。閑影輕鷗下。寒聲暮鴈來。荒城懷古遠。落木賦歸催。莫恨三餘別。春光瞥眼回。坐深寒夜靜。鈴閣息囂埃。古郭疎星出。遙空片月來。離情風葉亂。歸夢曉笳催。松嶽佳期在。相看說屢回。</text>
<title>次兒輩南池韻</title>,<text>霜落南湖白。迢迢兩岸明。魚龍波窟晏。鵝鴈浪栖輕。中沚如將溯。伊人宛有聲。空亭懷渺渺。佇立月東生。</text>
<title>敎塲。聚點團束軍口占。</title>,<text>延州城外敎塲平。撫劒遙懷一范名。雲擁旌旗龍虎閃。風喧鼓角鸛鵝驚。一朝組練難爲將。百載昇平不用兵。奇正自存談笑裏。傍人莫道老書生。</text>
<title>雪後發松京</title>,<text>客發西京鷄唱晨。夜來風雪少行人。樓臺森肅添寒氣。條劇虛明壓軟塵。忽變白頭山亦老。遍開素萼樹還春。鄕園却憶梅花事。應待翁歸一色新。</text>
<title>平壤東敎塲。點送赴操軍。歸路登練光亭。是日晴佳。渾眷團集。丁卯</title>,<text>百尺樓船浿上浮。鐃歌雜遝和帆謳。旌旗影動魚龍窟。皷角聲喧鴈鶩洲。朔氣江城開陣勢。西風野幕起邊愁。斜陽更作名亭會。自古繁華第一州。</text>
<title>閱波亭。次壁上梧陰相國韻。</title>,<text>風急春江岸柳斜。濕雲晴靄雨新過。寂寞樓頭人盡去。樓前幾閱淺深波。</text>
<title>發江東縣。向成川。朝有大雪。馬上漫吟。</title>,<text>琪花瓊蘂滿天來。妝得江山別界開。知是羣仙辭玉闕。樓頭留待老夫回。</text>
<title>降仙樓雪中</title>,<text>峽裏淸江起楚波。仙峰十二玉嵳峩。昔爲雲雨今爲雪。神女餘情變態多。</text>
<title>降仙樓</title>,<text>西來匹馬似狂奔。此地平生結夢魂。峰逈仙驂祥鳳下。江淸樓影老龍呑。千年水逝東明國。三峽雲迷宋玉村。秀色晴光看不厭。獨憑危檻到黃昏。</text>
<title>宿留仙觀</title>,<text>欲尋往跡水雲空。江上樓臺似楚宮。一片長懸巫峽月。三更不斷沸流風。流丹靜綠歸吟裏。沓翠霏紅入夢中。此夜留仙仙分重。天邊笙鶴可相逢。</text>
<title>與成川使君元令 在明 泛舟</title>,<text>蒼峰當戶出。綠水繞欄廻。曾說仙人降。復聞神女來。高筵揮彩筆。纖手送瓊盃。不作陽臺夢。塵心已宿灰。</text>
<title>發箕城</title>,<text>箕城四十七日遊。適似淵明彭澤留。縱然未作歸來賦。輕舸搖搖浿上洲。</text>
<title>路中</title>,<text>倦游五馬歸來兮。幾日城南到舊棲。關樹蒼茫駒峴北。嶺雲迢遞鳳山西。朝烟含翠孤村遠。夕照浮紅疊峀低。好作西州饞太守。巫岑浿水盡探携。</text>
<title>平山店。夕聞仲兒進士榜聲。五首</title>,<text>禮闈消息杳無傳。東望來人眼欲穿。翁婆相對羇窓夕。圓夢推爻不敢眠。郞君進士一聲忙。老母如癡老父狂。兩妹歡呼阿季躍。矯情新婦若端莊。荊闈四黜每嗟憐。大捷今朝尙妙年。秋毫不用營爲計。愛爾衷情獨信天。三歲襁中多識字。四齡能誦古詩文。洪匀賦予洵淸淑。今日小成何足云。莫以小成得意誇。前程萬里駕輕車。靑紫縱然如拾芥。詩書終是可傳家。</text>
<title>聞鄭甥 世翼 榜聲。喜感交幷。漫吟以寄示。</title>,<text>憐爾孤兒自篤工。深期不墜大家風。歡榮今日供無地。感淚難禁報喜中。</text>
<title>與李戚丈季亮氏 采 登七松亭觀燈。邂逅洪沔川聲伯 大應。呼韻得燈字。</title>,<text>四月八日夕張燈。無數楡花天半增。遠近千門明點點。高低萬竹直層層。繁華殊俗談燕市。怳惚仙遊問廣陵。壯觀隨人南麓上。少年能事老還能。</text>
<title>豐德途中</title>,<text>鳩鳴鶯囀麥芃芃。四望平蕪起遠風。谷口雲橫疎樹合。沙頭水淺斷橋空。臥牛寂寞孤村外。征馬蒼茫細雨中。前路十年迷不記。芝山蓮野問田翁。</text>
<title>紫霞洞 在松京</title>,<text>危磴度雲林。崎嶇入洞深。壁苔多古色。硤磵有淸音。亂石猶堪坐。幽蹊更好尋。暮禽催送客。羣壑轉蒼陰。</text>
<title>閑居</title>,<text>卜宅三年今始還。悠然終日對南山。松陰草色無塵事。床上殘書午睡閑。</text>
<title>逝斯亭 以下二首。皆松京作。</title>,<text>先生名滿世人間。古宅猶存疊峀環。杖屨遺踪苔護石。弦歌餘韻水鳴山。林端雨歇晴嵐濕。亭上風來暑氣刪。盡日淸閑諧夙願。坐看飛鳥暮雲還。</text>
<title>花谷書院。敬次慕堂先生壁上韻。</title>,<text>到處名山佛宇參。玆區幸不屬伽藍。壁色泉聲弦誦地。眞源一派自花潭。</text>
<title>瑞興赴任後。簿牒頗閑。漫吟記實。</title>,<text>霏霏秋雨下車初。五日公堂寂寂居。蟬語滄凉殷几案。樹陰濃綠滿庭除。手中一卷書長在。枕畔三時睡有餘。更上東樓吟望久。淸風拂袂若憑虛。</text>
<title>七夕</title>,<text>隴山舘裏欲新秋。銀漢三更澹澹流。巧女誰家誇筮蟢。佳期此夕望牽牛。月明樹影橫官道。雨歇川聲響夜樓。獨在異鄕鄕思切。心隨雲片去悠悠。</text>
<title>雨後</title>,<text>一雨催凉意。天淸月色新。蟲聲依草切。螢影度簷頻。虛舘星分夜。孤燈角報晨。兩京何渺渺。東望欲傷神。</text>
<title>峽村記見</title>,<text>村秋物色足堪看。終日行行在峽間。曲折一蹊頻渡水。蕭條數屋盡依山。兒童草岸追奔健。翁媼匏籬對坐閑。眠食煕煕無外事。應憐車馬走間關。</text>
<title>夜聽驟雨口號</title>,<text>風引鳴笳嫋嫋。雨兼落葉蕭蕭。陰雲掃盡淸夜。明月呼來碧霄。</text>
<title>次杜韻 二首</title>,<text>雲影徘徊月影斜。樓臺夜色淨霜華。羇愁門柳飄寒葉。鄕信窓梅護古槎。殘曉依微千里夢。遠天寥亮五更笳。呼童更戒爐頭藥。坐占官燈報喜花。子瞻一局着高碁。勝固欣然敗不悲。齊物曾無皺眉事。隨分長得破顔時。江湖歸計秋期晩。朱墨餘閑午睡遲。飮啄平生知有定。悠悠白首更何思。</text>
<title>次兒輩韻還示</title>,<text>中宵時靜坐。不愧對明燈。身喜今猶古。胷空火與氷。此關有誰透。彼岸無人登。進學同升塔。終須到上層。</text>
<title>送金行臺惟一 魯應 赴燕</title>,<text>忽謾相逢更相別。客中送客最堪傷。却憐驛路明朝遠。可惜官樓此夜忙。隴樹關雲猶故國。薊烟遼雪卽殊方。百廻持贈平安字。白首臨歧意渺茫。</text>
<title>次兒輩韻</title>,<text>欝欝胷中事。秋風不敢言。謫仙歎白日。屈子怨黃昏。燭影搖寒壁。雞聲出遠村。誰能此心慰。無用酒盈罇。</text>
<title>次季兒韻</title>,<text>水疊山重三百里。片時魂夢到賢西。旅燈明滅天涯遠。鄕樹依微雪裏低。淸月逐人照深院。寒風送客吹長堤。老妻遙指歸棲處。漢渚華岑路不迷。</text>
<title>夜話</title>,<text>斗轉河橫夜似年。羇窓寂寂悄無眠。燈前說盡心中事。白首相看不愧天。</text>
<title>次韻</title>,<text>淸琴奏正聲。風雨不敢喧。人生貴適性。幽靜愛自偏。知笑不知嚬。用之得長年。心和似陽春。身安如南山。神仙在房闥。三山徒渺然。</text>
<title>官齋雪後</title>,<text>殊鄕驚歲暮。吏隱卽虛名。遠樹浮烟暗。空庭積雪明。殘燈吟外冷。疎磬夢中淸。却恨春無脚。但慙詩有聲。</text>
<title>用兒輩聯句韻</title>,<text>仲冬多風雪。西州日嚴寒。頓覺重房冷。不敢憑危欄。酒肉還無賴。氷珠結鬚端。念彼蔀屋下。生涯正辛酸。所幸絲穀豐。傴僂保命殘。徵租更索錢。誰復憐艱難。安得陽春澤。均被萬姓歡。素餐良自慚。髮短歲又闌。麟鳳夢裏聞。唐虞卷中看。不如早歸來。高臥弄月團。</text>
<title>次兒輩排律韻</title>,<text>深深都護府。夜靜鼓聲嚴。明月初窺戶。疎星更透簾。山容分遠近。樹影露斜尖。興減揮朱墨。憂深課米鹽。眼花丌上墜。鬢雪鏡中添。功業違文武。襟期失巨纖。空遲鍊龍虎。誰復縶烏蟾。籠鳥愁飛啄。湖魚喜躍潛。百年歌彈指。萬事笑掀髯。鈴閣堪逃世。符章混跡兼。</text>
<title>小至夜。次杜韻。</title>,<text>北陸窮陰歲色催。初陽喜得雪同來。正憐天改依廻斗。還惜更殘坐撥灰。今夜曲中愁折柳。先春閤裏靜觀梅。殊方寂寂書雲物。共對官燈勸一盃。</text>
<title>冬至。疊用杜韻。</title>,<text>羲輪南轉六龍催。地底潛雷子夜來。玉磬希音新中律。金爐煖氣復燃灰。雪飄彭澤門前柳。春入揚州閣裏梅。取醉誰知玄酒味。白頭吟咏暫停盃。</text>
<title>戲贈金剛僧</title>,<text>風雪隴西都護府。蓬萊老僧來相訪。手持勸善文一卷。口誦南無仍合掌。梵字錯落天花飛。中有巨鐘福田廣。憶昔二十東入山。踏盡一萬二千嶂。白雲臺前曾相見。紅塵陌頭不相憶。紫綬銅章西南走。兩地茫茫無消息。慇懃不辭千里遠。隨身一杖復一鉢。東指指端海雲生。雲中羅列諸菩薩。黃金照耀太守前。滿庭觀者肅而拱。我有靑錢二千文。何以贈之歸珍重。來時已歷松嶽雲。歸路遙望金城月。長歌送汝情芒芒。錦堂落日空拄笏。</text>
<title>夕坐見烽</title>,<text>亭亭落日遠山含。吏散空庭鳥雀參。安得身隨烽火去。飛過松嶽到終南。</text>
<title>憶故園梅</title>,<text>可憐吟雪夜。却憶看梅時。疎影琴書靜。淸香笑語宜。百花失顔色。一片照心期。夢逐新陽去。慇懃着老枝。</text>
<title>見奭兒書。呼韻共賦。</title>,<text>雪裏書傳信。燈前墨潑輝。多時持直被。幾日解朝衣。秦隴寒雲重。周廬凍漏稀。莫驚新曆早。待爾伴春歸。</text>
<title>次仲兒韻</title>,<text>嚴風積雪㥘深冬。煖帽重裘作病慵。鼻裏那堪三斗吸。胷中誰許九雲容。殊方冉冉催窮沍。官閣寥寥坐下舂。自愧不才沾厚祿。生平幸得太平逢。</text>
<title>偶有所感。疊用前韻。</title>,<text>噓處成春吸處冬。鰌跳雀躍老龍慵。霜前竹葉欣添色。雪裏梅花强作容。大海無風平似鏡。小渠衝石怒如舂。神仙不在吾身外。何必安期天上逢。</text>
<title>次杜韻</title>,<text>隴夜三更月正中。星河耿耿滿瑤空。茫茫曠野迷寒雪。寂寂長林宿遠風。煖閤夢尋梅綻白。深屛坐對燭搖紅。無聊却憶靑春事。百感羇窓集似叢。</text>
<title>咏雪 二首</title>,<text>乘月飄空逈。隨風落地遲。龍歸銀海轉。鶴下玉田移。門柳麻姑髮。簷茅綺里眉。翩翩如有意。巧入竹簾垂。疎飛仍密下。皎皎覆千門。羣鷺渾俱往。孤鴉自獨翻。人歸庭有跡。月照樹無痕。洞徹塵氛絶。幽襟此可論。</text>
<title>隴山雜詠 八首</title>,<text>釋氏身爲幻。莊生物已齊。月光通上下。雲影各東西。枳棘愁栖鳳。弦歌愧割鷄。坐嘆書劒老。對燭白頭低。暝色生羣壑。蒼蒼隴日曛。浮烟平野合。返照遠村分。感序行吟雪。思鄕坐看雲。磬聲寒自語。偏向靜中聞。蓬轉非飄泊。優游在暮年。白雲來復往。明月缺仍圓。多病空憐老。輕身欲問仙。金丹消息遠。浩歎意無邊。隨月峰還轉。逐風烟自斜。簷氷兒惜玉。林雪鳥疑花。忽憶剡溪士。誰憐袁子家。邊愁百年靜。村笛襍官笳。夜深人語歇。旅舘一燈靑。戶入蒼蒼峀。簷垂爛爛星。澹輝凝遠眺。虛籟滿淸聽。雪樹含春意。天機不自停。兩舃明將擧。崧岑入語靑。妻兒圍夜燭。僕御告晨星。惜別新詩和。催行短角聽。車輪恨無翼。忍復蹔時停。羣物開新象。乾坤夜氣澄。虛靈吾道在。空色佛觀憑。紅粉元團土。圭簪卽鏤氷。浮生堪笑遣。誰復白雲乘。迎春無別味。生菜憶辛甘。日轉潛移北。風吹漸自南。入門皆吉事。題柱摠佳談。遍布東皇令。千林淑氣含。立春日作</text>
<title>道中憶奭兒 戊辰</title>,<text>昨夜崧南營。明朝隴西府。舊歲復新年。兩地迭團聚。漢陽三百里。迢迢爾獨阻。淸切奎章閣。橫經侍聖主。特立瑤陛上。煌煌衮職補。久別忽經歲。眷戀若穉乳。更憶退食地。爾應懷老父。官厨飽君恩。暮境無所苦。願爾勿勞思。留作明廷輔。</text>
<title>拈韻共賦</title>,<text>隴頭春入樹。席上酒盈壺。明月來如友。靑山繞作圖。樓臺瞻浿水。禽鳥憶延湖。隨處欣爲樂。神游倂有無。</text>
<title>上元</title>,<text>元宵隴西月。渡海上靑天。桂魄三千劫。氷輪第一圓。盈盈明不夜。皎皎浩無邊。我欲停盃問。吳生未罷眠。</text>
<title>拈韻共賦</title>,<text>臘後無殘雪。春來有好風。野光含靄漾。樹影帶烟空。欣託看羣鳥。冥飛聽早鴻。浮生已過半。談笑坐閒中。</text>
<title>延安李生瑞一，劉生安吉來訪。皆是講會諸生也。</title>,<text>二士延州至。淸儀宛舊筵。吟軒湖月上。講樹海雲連。揖遜應餘俗。弦歌未了緣。辛勤多愧謝。治化已無傳。</text>
<title>呼韻共賦 三首</title>,<text>素食官厨侈。鷄魚日滿盤。佳蔬玉菘嫩。香果金梨團。復有衣裘煖。不愁風雪寒。艱辛思蔀屋。難得此心安。雪後羣峰一抹齊。輕雲片片逐風西。長堤日暮行人度。古木天寒倦鳥啼。獨立樓頭春望遠。淺斟帳裏醉歌低。空將老興云誰訪。只有淸川似剡溪。白首深深坐嘯軒。春陰接地晝常昏。閑庭吏退簾垂靜。落日人歸市罷喧。解語鸚哥何處樹。成蹊桃李不知村。殊方物色多寥寂。鄕思天涯漸覺繁。</text>
<title>擬唐人隋宮懷古</title>,<text>一代豪華冷夕霞。荒墟誰識帝王家。古臺落日靑山外。殘柳悲風碧水涯。寂寞衣冠驚走鹿。凄凉歌舞亂飛鴉。惟餘野草傳春色。咍爾徒勞剪綵花。</text>
<title>擬唐人長安秋夜</title>,<text>天邊歸鴈一聲秋。昨夜新凉入小樓。萬葉霜華秦苑落。三更月浪漢城流。空閨蟲語催紅淚。旅舘螢飛驚白頭。剪燭厭聽宮漏永。蓴羹鱸鱠動鄕愁。</text>
<title>擬唐人經麻姑山</title>,<text>蓬洲三淺鍊成丹。山色千年碧不殘。寶鼎冷灰埋古土。香烟餘氣浥新蘭。神鞭聲斷林風靜。長爪痕留澗月寒。白日鸞驂如可遇。僊僊獨上步虛壇。</text>
<title>次杜晝夢韻</title>,<text>春氣醺人正懵然。纔聞午漏已成眠。花光凝睫依依合。柳色迷魂裊裊牽。斷續奇文書卷裏。朦朧異事鳥聲邊。優游盡日華胥國。絶勝揚州跨鶴錢。</text>
<title>仍用其韻。擬杜作。</title>,<text>無事無人臥寂然。晝長風暖但慵眠。魂隨歸鴈千山過。夢入游絲百丈牽。弟妹妻兒春蝶裏。衣冠宮闕霧花邊。破愁不借雲安酒。下峽寧謀雇直錢。</text>
<title>擬杜堂成</title>,<text>城南江北此誅茅。乳燕鳴鳩春滿郊。雲捲短簷通月浪。花圍曲檻傍烟梢。看山莫道玄暉宅。依樹還同太古巢。門外不禁長者轍。幽居恐被野翁嘲。</text>
<title>擬杜曲江對雨</title>,<text>朝雨霏霏過苑墻。汀洲春晩濕芬芳。鸎牽柳色飛來近。鳧引波文泛去長。菱葉輕搖樓盪影。花枝細潤酒添香。衣沾不惜饒淸興。盡日忘歸坐水傍。</text>
<title>次杜花底韻</title>,<text>藉草芳陰坐。垂垂頭上花。烏巾侵紫霧。皓鬢濕紅霞。弄影頻移席。攀枝更駐車。落來香不歇。蝴蝶滿晴沙。</text>
<title>次杜柳邊韻</title>,<text>蘸黃經雨嫩。含翠拂烟新。獨擅燕鶯地。先爲桃李春。輕搖無定態。飄蕩不勝身。縱悅遨遊子。偏愁遠別人。</text>
<title>伯氏晬辰書懷</title>,<text>登樓東望欲翩翩。獨立今朝倍黯然。豈但尋常佳節比。難爲惆悵遠魂牽。崧陽春暮蒼蒼樹。隴外雲迷杳杳天。三節傳聞楸下宿。殊方滯臥感懷偏。</text>
<title>隴西寒食呼韻</title>,<text>久客隴西逢暮春。淸明好雨洗花塵。欣欣草木光華潤。欝欝山川氣色新。松餠强嘗同俗食。柳條偏感異鄕人。東樓獨立疎簾捲。漢北崧南擧目頻。</text>
<title>次杜早花韻</title>,<text>隴上淸明節。春光逐雨來。草餘瀜雪濕。花有向陽開。欲綻仙人杏。新肥處士梅。年芳殊早晩。荏苒莫須催。</text>
<title>葱秀雨中</title>,<text>崧陽東望暮春歸。山鳥𠴨𠴨野燕飛。紅杏尋常臨水岸。綠楊三四暎村扉。微風自信吹人面。細雨無情濕客衣。此路來還今幾度。澄川翠壁也依依。</text>
<title>西京路中</title>,<text>西京楊柳晩風斜。十里靑烟暎紫霞。一路春光看不盡。山前水上摠桃花。</text>
<title>歸眞寺。次仲兒韻。</title>,<text>聞說歸眞寺。名區冠隴西。千巖奇勢兢。萬木老陰低。僧去看花落。山空聽鳥啼。夕陽多惜別。餘興向前溪。</text>
<title>次杜牛頭寺韻 二首</title>,<text>北尋羅代寺。寺在亂山中。古殿空花雨。虛樓滿霅風。經殘三乘絶。鐘巨十方通。劫外留嚴相。金蓮碧萬叢。行入靑山裏。逍遙碧澗頭。欲尋蓮社約。已伴遠公遊。鳥去薝林靜。僧來石徑幽。諸佛多慚愧。微官亦未休。</text>
<title>聯句</title>,<text>霽餘新月照。睡堂。 流影上疎簾。遠客偏多興。壽閤。 淸光兩不嫌。虛明天宇闊。奭周。 滴瀝露華霑。樓閣憑空逈。吉周。 峰巒入鏡尖。雲歸林外靜。星出樹間添。催夜深燈翳。顯周。 吟風短角嚴。相看歡笑足。睡堂。 團坐醉醒兼。揮筆騁詞苑。壽閤。 傾壺報漏籤。繞階羅寶樹。奭周。 供膳和晶鹽。茶熟詩腸潤。吉周。 琴淸玉手纖。怡怡眞可樂。去去不辭淹。起視銀河轉。顯周。 佳懷問老蟾。睡堂。</text>
<title>拈右丞韻</title>,<text>隴上行人細雨。林間歸鳥疎烟。樓笳寂寂晨響。門卒閒閒晝眠。</text>
<title>三五七言</title>,<text>隴山高。隴水淸。閒閒十三坊。犬吠連鷄鳴。獨憐東閣老太守。長嘯高臥非世情。</text>
<title>雜詠</title>,<text>有風自南。吹彼北林。我欲濯熱。愛此芳陰。草有佳色。鳥有好音。雲開朝夕。山同古今。一唱羣酬。興長情深。永以爲好。樂以中心。</text>
<title>自松營還。路上賦得。</title>,<text>欲雨還晴日。西風吹客愁。深田行白鷺。芳草立黃牛。嶺峻馬逾健。路平車似流。崧岑知漸遠。惆悵幾回頭。</text>
<title>次季兒路中韻</title>,<text>離筵日欲午。車馬去何忙。東閣愁中寂。南堤望裏長依依山舘樹。裊裊御爐香。從此三更夢。隨風入渺茫。</text>
<title>季兒寄示詠堂前松詩。遂和韻以贈。</title>,<text>愛爾殊凡木。蒼翠四時連。挺榦赤龍騰。散柯靑鳳翩。厚培更勿翦。千歲全其天。淸風發遠籟。六合灑泠然。寧比桃李春。繁華片時傳。</text>
<title>重陽。登以觀亭。獨坐無聊。短律寫懷。</title>,<text>九日殊方秋色催。不勝鄕思强登臺。佳辰憑檻人南望。昨夜驚霜鴈北來。倍憶丹楓潭上暎。再逢紅菊隴頭開。高筵落帽風流遠。對景無人更勸盃。</text>
<title>沈西原景晦氏 公著 輓</title>,<text>疎襟雅操世無求。不作人間潦倒愁。七郡弦歌遺愛在。千篇皷角正聲留。高談雪落華城夜。佳興春歸漢水舟。詩社後期何處問。荒詞隴外淚空流。</text>
<title>李叔投示次杜韻。時適有所感。因次其韻。二首</title>,<text>鳳凰千載遠。鷄鴨自成羣。月白官樓雪。塵昏驛路雲。淳風何處見。佞俗不堪聞。安得臯陶篲。揮來掃世紛。隴西非我土。潦倒久離羣。底事埋朱墨。無人領白雲。親朋愁外望。江漢夢中聞。歲暮多風雪。徒令客思紛。</text>
<title>取臘雪水。烹蔘稏茶。</title>,<text>烹稏思靈水。雪飄知臘時。承來金椀淨。瀜處石爐遲。細沸珠如粟。浮香霧若絲。扶衰兼散熱。幽趣共深巵。</text>
<title>新年吟 己巳</title>,<text>白髮添年自不禁。官齋那惜送窮陰。春寒殘雪栖空壑。日暮閑雲傍遠林。佳色樓頭頻見柳。和聲簷角已聽禽。鄕書初得生孫報。翁媼相看喜氣深。</text>
<title>上元夜。往兪定山 漢純氏 謫舍賞月。歸賦書呈要和。二首</title>,<text>佳節他鄕月。欣逢故國人。光輝晴欲濕。談笑老逾眞。知是同羇旅。何須辨主賓。煖茶還勝酒。對酌更情親。白首憐窮謫。佳辰獨作愁。卜隣元故土。兪宅在大平舘。與木橋第接隣故云。 佩玦又玆州。有月還添恨。無人更拭眸。今宵慚地主。薄酒未銷憂。</text>
<title>十七日卽望也。月輪正滿可玩。</title>,<text>如輪素月十分團。天上今宵卽上元。玉女菱花開夜半。仙人桂樹種雲端。光籠萬木風吹動。影落千山露濕寒。照處却羞添髮白。欲從靈兎問神丹。</text>
<title>曉月</title>,<text>曉月橫天半。寥寥已五更。簷鳩雙影照。園鶴並棲明。啜茗時頻勸。吟詩更細評。氛埃空一席。孤角和鷄鳴。</text>
<title>初月</title>,<text>娟娟初月細如眉。已自中含萬里輝。直到滿輪三五夜。淸光四海共瞻時。</text>
<title>次韻</title>,<text>雨過雲俱罷。山光綠染新。村烟淡將夕。堤柳暗催春。鄕俗經三載。天和在一身。願言同百里。作得葛懷人。</text>
<title>寒食日拈韻</title>,<text>春雨濛濛後。春風習習初。古風空禁火。鄕思獨裁書。野墓人歸盡。空庭鳥下虛。西州花柳遠。早信憶江廬。</text>
<title>登以觀亭。次重過何氏庄韻。</title>,<text>白日登高處。靑天望遠時。山川渾似畫。花柳自然詩。滿地纖纖草。遊空靄靄絲。春光無限好。浩蕩見襟期。</text>
<title>春日憶鷗湖。拈杜韻共賦。</title>,<text>春日添鄕思。東湖憶舊居。百花依檻密。千樹繞墻疎。沙靜烟眠鷺。波閒雨躍魚。生涯衰晩足。連屋有藏書。</text>
<title>有懷拈韻 二首</title>,<text>春廻潘子縣。秋遠季鷹江。望野時扶杖。看山晩倚窓。落霞自片片。歸鳥亦雙雙。坐愛虛生白。官齋不點釭。春眠遲不覺。午漏滴銅壺。佳色黃侵柳。淸陰碧轉梧。庭留鶴飛舞。門斷客傳呼。安得龍眠手。摸成吏隱圖。</text>
<title>次杜詠柳</title>,<text>萬樹兩行直。千條一色齊。烟籠渭城北。日照章臺西。紫鷰宜輕蹴。黃鸝合緩啼。風流凝百態。旖旎使人迷。</text>
<title>疊用和夢上高樓</title>,<text>樓高三萬丈。高與廣寒齊。瑤斗藏簾北。銀河帶檻西。平臨玉兎舞。俯聽火烏啼。白日提携上。神仙眼欲迷。</text>
<title>呼韻 三首</title>,<text>南堤行客路。北岸望鄕臺。柳慣離亭折。花知合席開。鴈何朔方去。春自故山來。獨立斜陽外。歸心鳥喚催。碧水古今流。靑山朝暮對。已爲放浪遊。誰復安危佩。元亮漫歸田。季鷹空憶菜。還能太上忘。不妨西州在。隴山吏隱兼。吟弄春光對。花惜鬢邊絲。鳥疑腰後佩。盤登浿水魚。食釀延城菜。隨處得閒情。川雲同自在。</text>
<title>與兪定山登北麓 二首</title>,<text>十里烟堤柳。芳菲尙早春。依依愁謫客。裊裊惱佳人。花色初開嫩。禽聲百囀新。林亭相送罷。落日望行塵。重看隴西柳。何似漢陽春。愁醉殊方酒。欣逢故國人。邨容花鳥麗。山色畫圖新。獨慚雙鬢雪。奔走在風塵。</text>
<title>草閣</title>,<text>春日官樓上。悠然坐到曛。新花沾細雨。疊峀隱微雲。多少行人出。縱橫野徑分。前溪紅翠影。返照自生文。</text>
<title>朝出柳堤外卽返</title>,<text>朝烟一抹帶長林。澹蕩春光映客襟。老㹀時嘶芳草岸。征驂頻駐綠楊陰。初因漫興悠悠出。更有新詩衮衮吟。歸視官庭花影亞。枝間何意喚幽禽。</text>
<title>共登以觀亭。次杜韻。</title>,<text>太守多閒暇。重門晝亦關。尋花憑畫閣。看鳥到靑山。淑氣穿簾入。微風卷幔還。淡沲烟景裏。怡悅對衰顔。</text>
