<title>秋日。送人赴關西幕。</title>,<text>迢遞關山路。蒼茫樹色秋。河橋相送罷。擊劍有餘愁。</text>
<title>陪駕宴仁平公主庄</title>,<text>淸夏開樽貴主前。天廻寶座飮初筵。親親化洽閨帷內。秩秩儀新禮皃先。臺沼葱籠通御氣。臣僚雜遝襯祥煙。千年勝事人爭覩。拜和天官少宰篇。</text>
<title>次李友 鳳齡 韻</title>,<text>强扶藜杖夢醒餘。春夕登臯一嘯舒。淸漢水明歸遠帆。午門塵漲出行車。百年多病憐唐杜。半世知非類衛遽。花柳滿城時正好。客心猶憶故山居。</text>
<title>見流丐有感。次杜韻。</title>,<text>剝落羸形鬼與隣。可憐無復汝爲人。啼飢盡訴悲哀事。割愛渾忘父子親。天上望雲知已晩。夢中看餠豈云眞。近聞秦糶西來救。都下蒼生感泣巾。</text>
<title>閨情</title>,<text>二八嬌兒鬂玉笄。越羅裳薄冷金泥。頻窺鏡裏靑蛾斂。時聽門前白馬嘶。喉玉送聲春柳折。腕絲偸鎖夜烏啼。須期漢代金吾婿。莫學空閨錦字題。</text>
<title>挽友</title>,<text>知得文章自有神。以玆名薦杏園春。馬卿貧甚啼飢數。阮籍途窮把酒頻。行斷鴈鴻歸影盡。慶流蘭玉茁芽新。遙思雙釰延津會。回首東風淚滿巾。</text>
<title>次杜早秋苦熱韻</title>,<text>秋至炎氛尙欝蒸。苦吟時笑乏才能。徒勞盡日馳河蚷。却羡長程附驥蠅。杜子廢飡狂自叫。馬卿焦肺病相仍。和來白雪煩襟滌。使我休思玉井氷。</text>
<title>次李友 鳳齡 韻 四首</title>,<text>西來因作倦遊人。偶與吾君幸結隣。每憶鄭公開藕坐。時隨許子設花筃。乾坤大裏容吾輩。歲月忙中寄此身。萬事未成頭共白。把酒相對劍歌頻。離索城西一老人。臥痾春夏不窺隣。獨甘草屋供疏糲。肎羨華軒醉錦筃。萬事已成疎放跡。百年還覺等閒身。論文賴有如蘭友。寫出新詩送我頻。盡日空齋不見人。一筇蹤跡隔西隣。淸風夢穩淵明枕。芳草行宜邵子筃。薄宦豈關當世務。衰顔已換少年身。含丹照白羲經在。靜對晴窻點檢頻。甘作明時棄擲人。寓居猶幸接芳憐。懸燈夜雨連寒榻。籍草春波共翠筃。浮世功名非子意。暮年疎放是吾身。相將謾興耽佳句。也自乘閑會面頻。</text>
<title>和次李友 鳳齡 韻 三首</title>,<text>天地中間老此身。鬢邊霜髮共愁新。明時自棄違長筭。佳句相酬對故人。千里月懸孤客夢。一年花發萬家春。回看名利營營輩。可笑平生役卯申。羸形頗似坐禪身。契托騷翁氣味新。叔夜自知疎放客。相如元是倦遊人。長吟天地無窮事。遠想湖山欲暮春。幸賴淸標時一至。共垂華髮語申申。君是名繮未絆身。暮年傾盖白頭新。仍成海內知音友。同作城西卧病人。千里夢勞尋故社。一篇吟惱和陽春。風花正好登高眺。可惜羲輪指未申。</text>
<title>石假山 二首</title>,<text>奪天人巧假成眞。廻壑層巒檻外新。壁樹老含千古色。巖花長帶四時春。已從城市開靈境。更遣烟霞隔世塵。中有主翁閑睡罷。坐看朝暮碧嶙峋。人偸造化巧成眞。剪取雲根奇且新。峰壑晴開蒼翠色。杉松老帶八千春。還疑鬼物移仙界。却幻蓬萊絶世塵。遊客幾多探勝賞。爲憐窻外聳嶙峋。</text>
<title>次杜螢韻</title>,<text>形資腐草草頭飛。入夜耽看露濕衣。偸火不隨秋雨滅。學星還向曉天稀。愁紅金殿流窻影。字碧緇帷照案輝。微物亦關時序改。少陵緣汝苦思歸。</text>
<title>次杜卽事韻</title>,<text>遲遲天日漸看長。綠樹陰濃霽後光。風引苑鶯流晩語。露和堦藥泛淸香。惱人景物吟無盡。忘世形神醉不妨。遙望故山歸計誤。一春烟棹負三湘。</text>
<title>挽尹姪 鏜</title>,<text>吁嗟賦命爾偏奇。一疾誰知竟莫醫。細想儀形眞可惜。更思年紀最堪悲。高堂復有顔回老。天道終無伯道兒。杞哭痛深姜被冷。後期惟望夢來時。</text>
<title>次李友 鳳齡 韻 十首</title>,<text>戕生傷性等貪廉。奈此光陰忽不淹。孤竹採薇悲守餓。呂牙垂餌笑抽潛。誰家錦幕懸風燭。幾處茅齋對雨簷。貧富自然天有定。勸君休羡飫魚塩。終南疎雨影纖廉。身世偏驚客裏淹。斑借霧成期豹變。卵隨陵化等虬潛。輕揮書榻談詩麈。遠想漁村曬網簷。寄語橫金惡年少。莫飜深井蜀中塩。花開花落任飛廉。春夏誰敎節序淹。虛舘客懷雙鬂白。道家眞味一心潛。烟開漢水光搖櫓。月出終南影轉簷。細向靜中推物理。大羹元是不調鹽。崇酒探花似不廉。一身聊向此間淹。寰中事業仍拋久。鬂上光陰幾遣潛。塵榻散書欹晩枕。客燈疎雨落幽簷。有時扶醉隣翁至。呼取盤中太白塩。我友平生志尙廉。藏名城市老將淹。林看倦鳥回翔入。山對平波倒影潛。高枕淸風來北戶。捲簾明月掛前簷。閑將朝暮吟詩興。把酒兼持白雪塩。吁嗟斯世揔忘廉。憂國人誰慕仲淹。千古聚財看得失。一天成物定飛潛。好音黃鳥深藏葉。眞面靑山直聳簷。解道蘇僊留五絶。偶吟三月食無鹽。愧我身名自喪廉。一官京洛住聊淹。羨他鷗鷺寒沙占。憐彼蛟龍淺水潛。黃卷引眠慵對案。綠陰牽興强廵簷。日高䟽糲嫌無饌。溪女何時負井塩。曾於名利戒傷廉。薄宦如何使我淹。天地關心魂斷盡。江山擧目涕垂潛。舟車有粟人喧市。庭院無風雀噪簷。今日朝廷經費渴。廟謨能不攉商塩。平生心跡不生廉。攀桂淮南住欲淹。千里故山違宿計。十年京洛困郞潛。遙思漢水淸添酒。直對終南翠聳簷。賴有北隣騷客至。醉中佳味覔吳塩。雅操多慙仲子廉。詩情亦謝舊江淹。鳳翔千仞何時下。龍臥三冬豈久潛。長樂鍾聲來遠枕。終南山色對虛簷。試看殷鼎調羹手。孰是爲梅孰是塩。</text>
<title>次李友韻</title>,<text>滿天風雨重陽節。起向庭除護菊盆。沙岸自沉新漲水。泥程忽阻昔遊村。空齋客咏淵明句。何處人傾太白樽。盡日未逢良友話。只敎欹枕夢羲軒。</text>
<title>返照。次杜韻。</title>,<text>背日群山一半昏。向東廻照有餘痕。波金曬閃臨江壁。煙縷和明隔岸村。鴉帶片輝遙入樹。客隨斜影急投門。殘霞斷靄生新態。悵望平蕪役倦魂。</text>
<title>端午日。客中述懷。</title>,<text>盡日空齋心悄悄。住筇庭畔獨徘徊。佳辰正屬天中節。好事誰傳月下盃。三角白雲隨北去。廣陵疎雨自東來。身留京洛無佗况。湖海歸情一倍催。</text>
<title>夜次杜韻</title>,<text>夜色虛明一氣淸。聲高絡緯客心驚。天回霽漢漂星轉。露浥秋梧滴葉鳴。千里還家燈下夢。百年憂國枕邊情。西峰月隱吟懷倦。更鼓遲遲出禁城。</text>
<title>次杜雨支離韻</title>,<text>終南山色亂雲中。春雨連天鎖九宮。夜響蕭蕭幽入戶。朝霏颯颯遠隨風。仍看弱草粘泥綠。漸覺殘花墜粉紅。猶喜前江波正漲。擬攜烟棹溯歸東。</text>
<title>次李友韻 二首</title>,<text>頭邊白髮亂星星。獨臥城西一草亭。宇宙百年常作客。支離半世苦窮經。營巢春燕無閒暇。遷木新鶯不暫停。天理自然無彼我。可憐微物亦勞形。年來心印漸凋刓。抱膝長吟蜀道難。閱盡人情知險阻。嘗多世味覺醎酸。休嘲困我風塵下。自信容吾宇宙寬。志氣未衰身已老。强將詩句報春闌。</text>
<title>次李友歲寒松栢韻</title>,<text>惜君才調生斯世。身計無成屬暮齡。鶴老遠思雲海澗。蟬飢淸飮露珠零。傾盖春風頭共白。含杯落日眼俱靑。歲寒松栢傳新作。梅菊心期屬弟兄。</text>
<title>望嶽。次杜韻。</title>,<text>衆山環拱自然尊。問爾崑崙第幾孫。積翠浮天森劍氣。層巒挂月見金盆。歸雲逈逗危巖面。飛瀑長懸古石門。我欲卸風登絶頂。笑看玄圃出河源。</text>
<title>次杜灧澦韻</title>,<text>石出高低驗淺深。峽雲長作半江陰。浪回自激騷人思。波急仍停賈客吟。百丈船牽各努力。三聲猿叫實沾襟。有時傾覆非關險。戒在忘身只見金。</text>
<title>述懷。次杜韻。</title>,<text>京洛三年成底事。春來猶着弊荷裳。相如病甚知遊倦。阮籍途窮任醉狂。身對落花風雨夕。夢尋歸棹水雲鄕。才疎自分功名薄。倚柱沉吟送夕陽。</text>
<title>又次杜韻述懷</title>,<text>吾年七十恒爲客。險阻艱難閱幾多。頭上短毛爭歲月。面交方寸隔山河。仍嫌處世行蓬累。却憶還山卧薜蘿。心事自然多感慨。有時長嘯有時歌。</text>
<title>次杜恨別韻</title>,<text>支離半世西遊倦。壯志蹉跎惜暮年。鄕路雲山巴峽外。客堂風雨漢城邊。時時仰屋聲長嘯。夜夜還家夢短眠。投紱從今思晦迹。恨無勳業掃幽燕。</text>
<title>次李友觀燈韻</title>,<text>四月八日觀燈節。昏黑登山到上顚。習俗已成此夜會。騷人休誇元夕篇。匝地火城光自暈。滿天星斗影相連。衰顔不覺風流盡。興繞千門萬戶邊。</text>
<title>述懷</title>,<text>年來身世兩相忘。高臥城西一草堂。不笑不言曾不怒。非愚非妄亦非狂。麤歌簿酒消憂盡。明月淸風引興長。聊向靜中時點易。北窻閑日夢羲皇。</text>
<title>次唐律大酺韻</title>,<text>晴開閶閤九門通。萬國衣冠此會同。湛露需雲天上下。龍㫌鳳盖殿西東。太平歌吹長安路。春日烟花禁苑風。幸覩昌辰朝市樂。千秋共擬宴岐豐。</text>
<title>九日感懷</title>,<text>塵容俗狀滯長安。道序偏驚客裏看。紅樹暎霜秋欲老。碧天懸月夜生寒。鶴猿淸夢歸深。犬馬殘齡寄冷官。虛送一年重九節。菊花誰揷鬂邊冠。</text>
<title>次李友 鳳齡 韻</title>,<text>白首支離困一官。眼邊春色又將闌。形開京洛新交友。夢把江湖舊釣竿。千里雲山鄕路遠。一庭花月客窻寒。從今自可投簪笏。欲向何門抱刺干。</text>
<title>寄禹金海公遠</title>,<text>伽耶伽洛又伽羅。千古興亡閱幾何。大嶺以南惟此勝。昇仙之後得君多。靑天有月心同照。滄海無風政最和。時向首陵煩一弔。爲傳千里費唫哦。</text>
<title>送人之任關西</title>,<text>三佩銅章浿水西。驛亭官樹記高低。還嫌玄菟看黎庶。却憶銀臺捧紫泥。恩沐天湫龍暖水。路窮叢棘鳳依棲。定知王舃回非久。猶向離筵惜解攜。</text>
<title>次牧丹未開韻</title>,<text>經春猶見未開花。蘇小慵來睡幾何。香早綵雲流入夢。影遲羅襪步凌波。歌唇寂寞朝屛掩。粧鏡依微曉霧多。丹臉帶羞嬌不笑。似嫌墻外有窺他。</text>
<title>挽朴令公 世龍</title>,<text>追憶前冬問疾時。已悲斯世更無期。年高八耋人皆仰。族冠三韓世尙知。樞府添恩㫌煥粉。傳家有子桂香枝。堪嗟劍會延平日。雪涕無禁再從私。</text>
<title>挽姜友 宰武</title>,<text>屈指人誰有似君。爲憐窮格出凡群。平生孝友天無報。餘事文章世莫聞。杞哭痛深猶撫子。王間望斷自成𣌕。此身佗日還鄕里。忍見荒原隔暮雲。</text>
<title>挽李公 光先</title>,<text>月城名族冠吾東。尙見雲仍有古風。五玉謝庭雙報缺。一瓢顔巷屢稱空。平生孝友天眞在。暮歲流移命道窮。南極壽星今晦彩。長孫號哭墨衰中。</text>
<title>挽崔令公 悌伯</title>,<text>寬仁厚德冠吾鄕。欲寫哀辭筆不詳。南極壽星天晦彩。西樞寵秩世增光。平生聚散曾多仰。孤寡攀號卽可傷。亦有長孫猶未娵。夜臺遺恨想難量。</text>
<title>大妃殿回甲誕日。獻賀詩。</title>,<text>長信帷簾瑞靄斜。日華流映壽觴霞。寰中甲子初回序。天上僊桃始綻花。有道曾孫千歲祝。無疆盛福萬人誇。欲將瓊液添靈筭。此去蓬山定不賖。</text>
<title>十月九日。次杜子美韻述懷。</title>,<text>十月漢城逢九日。獨登迢遞望鄕臺。堪嗟白酒無人送。休說黃花爲客開。朔鴈遠隨沙渚落。寒鴉斜帶夕陽來。倦遊司馬留何事。湖海歸心日夜催。</text>
<title>寄蔡伯瑞</title>,<text>旅鴈叫淸霜。天虛秋月白。沉吟獨無眠。緬想山中客。落葉聽暮聲。寒花蔕晩色。悵望不相見。徘徊永今夕。</text>
<title>冬日。述懷效古。</title>,<text>白雪暗西山。寒雲愁日暮。美人在遠方。天長無尺素。慇懃欲有贈。爲折寒梅樹。悵望久延佇。雙淚零如雨。</text>
<title>秋日期友人。不至。二首</title>,<text>前溪秋水落。衆石半露出。濯足復濯纓。長歌自怡悅。白酒今正熟。黃雞又堪殺。故人期不來。悵望西山日。沉吟行路難。閉門久不出。自爾與世違。何處求容悅。矯首望山川。秋光帶肅殺。浮雲亦多猜。謾遮長安日。</text>
<title>醉吟</title>,<text>春山雨初霽。紅綠一時笑。手把一樽酒。酣歌惜年少。爲報造化翁。莫慢黃髮老。誰識渭川人。八十起屠釣。</text>
<title>咏雲</title>,<text>白日照雲葉。奇峰明萬疊。參差遠山際。宛若連三峽。俄然作暮雨。猶疑楚夢濕。</text>
<title>戲和李一卿</title>,<text>棹頭謝世事。逍遙湖上山。古壇松半老。仙鶴何時還。沙渚有鷗鷺。窺魚亦不閑。</text>
<title>偶吟</title>,<text>白首禮賓正。官閒無一事。不堪客味酸。猶有歸山志。西風撼庭樹。寥慄秋聲起。沉唫倚窻牖。坐對終南翠。</text>
<title>秋日途中</title>,<text>落日窺半嶺。秋陰生遠郊。行子策羸馬。沈吟向江臯。宿鳥歸棲盡。炊烟將斂痕。欲投前村宿。恐有主人言。</text>
<title>送人</title>,<text>行子不須去。日暮今何之。道路旣云險。松樹多生悲。如將棄我去。吾亦隨君歸。</text>
<title>江樓夜吟</title>,<text>江閣夜生凉。朗月懸空白。主人一樽酒。慇懃留遠客。興酣坐促膝。談笑各盡情。倚檻發長嘯。庭樹撼秋聲。</text>
<title>次申企齋荷珠韻 二首</title>,<text>荷葉出淸沼。珠喧覺雨聲。荷傾珠盡瀉。荷定珠還盈。團圓亦可愛。錯認眞珠明。風來正搖蕩。露珠看世情。池上碧荷葉。雨霽秋有聲。宛然若捧盤。珠露看盈盈。千點復萬點。團圓色瑩明。西風盡傾瀉。惱我騷客情。</text>
<title>夜坐彈琴</title>,<text>幽人夜無寐。獨坐彈素琴。大絃和而暢。小絃哀不淫。冷冷復切切。中藏太古音。變徵挑角羽。山高水亦深。殊不樂。濁醪還自斟。一杯又一曲。無人知我心。慷慨拓窻視。片月掛松林。</text>
<title>春興 二首</title>,<text>年老兼多病。累月不出戶。擁衾常對爐。不知時序度。忽聞童子語。春歸江上柳。驚起理釣絲。斗酒謀諸婦。簑衣仍帶索。忙尋舊釣磯。衰顔非古貌。鷗鷺浪驚飛。又病起登東臯。春色滿江湖。鷗沙麗日明。魚藻細沫浮。持竿向苔磯。萬物皆得時。桃花泛流水。恐有漁郞知。</text>
<title>謫居廣陵時。寒食有吟。</title>,<text>子厚謫柳州。寒食思先墓。至今千載下。令人起景慕。孤臣被恩譴。留滯河南土。家鄕隔雲烟。路遠魂飛苦。况當仲秋節。萬物皆自成。國俗重此日。人懷追遠情。處處上丘壠。澆酒展其誠。而我竟何辜。不得通幽明。悵望舊松楸。血泣追愆尤。</text>
<title>懶婦篇</title>,<text>秋風起洞房。懶媍驚蟋蜶。明晨上機杼。獨坐愁日沒。手澀絲脆斷。十日不成匹。姑姥慍有語。婦年今幾歲。曾在汝家時。人稱多才藝。自從爲我婦。何事稱人意。年皃俱可惜。婦道豈若是。小子長負薪。短褐不掩身。况値淸秋節。寒氣逼肌多。生年習慵眠。到此將奈何。懶媍更搔頭。對影嚬雙蛾。欷歔復歎息。忙手當窻織。中心懷憤懣。反唇私自語。念少在家時。阿母稱吾女。年將十四五。顔色如花紅。新粧艶陽春。不解學女工。我有繡羅襦。復有明月璫。頭上玉燕釵。細腰垂香囊。自恃富貴容。願嫁金吾郞。誰知妾薄命。誤作貧家婦。褰衣復捲袖。入厨親井臼。努力事舅姑。家中何所有。朝暮不聊生。盡賣盈箱衣。悔作兒女子。終身無所歸。每當淸秋節。年年却愁苦。昨日又明日。紅顔亦已暮。更欲學蚕織。盛年難再遇。蚕織亦已矣。此身長如此。中情畏人知。默默潛垂淚。</text>
<title>挽</title>,<text>稼牧雲仍在。於君見文采。骨相異凡曹。風味撥俗態。平生好心事。言笑露肝肺。幸余忝外黨。親懿無表內。君有四鴈行。我亦三魚隊。次次幷聯庾。雙雙喜相對。我呼君爲叔。君向我友愛。齠齕至二毛。情義何曾悖。有酒輒勸侑。得詩相報賽。連床共論襟。嬉嬉窮晝昧。况復同蓮榜。當時稱我輩。看君才益富。擬掣圖南背。誰知福善家。仁壽天不貸。乃今春正月。虐癘竟何耐。殯殮莫憑視。心期負幽晦。旅櫬市廛間。行路亦嘆嘅。堂萱迫西日。趙肉餘一塊。杞城痛忽崩。鴒原悲莫逮。三紀在俄頃。萬事成感慨。慘憺城西隅。靈輀旣云載。瞻彼廣陵山。歸魂雲靉靆。羊曇醉後淚。洒盡心欲碎。髣髴想平素。千秋更難再。蕉荔自丹黃。杯觴欠奠酹。執紼寫哀挽。泉塗愁暗曖。</text>
<title>挽 代作</title>,<text>萬事入長痛。思君驚我𩲸。彷彿想平素。形容宛如昨。兩家世誼敦。重有婚媾續。自少無嫌猜。知君露肺膈。異膝爲兄弟。升堂遊戱劇。令妹卽兄嫂。當稚蒙乳鞠。恩情旣自別。交義老彌篤。愛君耽麯味。遺世襟期適。三淸洞裏天。攜酒卽相覔。從容促席話。醉對窮𣌕夕。行年五十九。身外付榮辱。五男三女兒。燁燁成蘭玉。誰知福善家。遽値層峰厄。人生有定命。一疾亦云酷。有惑莫相問。永作幽明隔。殯殮竟不憑。卽遠又不覿。此心不可道。此情不可極。鬱彼西山路。魂歸先壠側。丹旐出京口。古宅春寂寞。依俙屋梁曉。殘月瞻顔色。揮洒寫哀挽。九原難更作。</text>
<title>在廣陵時。偶吟。</title>,<text>漢南七月潦雨至。前溪水漲魚上水。藤笠簑衣下苔磯。閑垂釣竿不設餌。</text>
<title>江浦謠 二首</title>,<text>海潮生。江水平。靑山倒影朝日明。渡頭行子急呼船。驚飛白鷗三兩聲。○海潮落。江水涸。日暮漁舟烟渚泊。垂柳陰中有人家。屋上茅茨微露角。</text>
<title>借李一卿櫻桃</title>,<text>平生性癖耽花卉。露種雲栽滿階砌。參差紅綠散晴影。品彙多從隣友惠。問君窻外櫻桃樹。幾枝正長春天暮。欲借韶光三兩叢。帶泥移根篩後圃。色添桃李無彼我。雨露生成在日夜。閱盡香英爛熳春。佇看朱實玲瓏夏。</text>
<title>讀樂毅報燕惠王書有感</title>,<text>老夫平生好讀書。架上陳篇手卷舒。曠世相感樂毅傳。有時掩卷起歎歔。燕市千金駿骨高。丈夫當年許身初。萬乘推主閫外。君讐國耻期掃際。黃金橫帶騁淄上。東下齊城七十餘。呼天一夕哭昭王。轅門半夜來單車。此身去國無歸處。更向何門曳長裾。自憐奔亡舊昌國。誰料移封今望諸。白首燕臣老邯鄲。新王一札來傳於。跪奉天書讀未畢。思歸故國還趑趄。感激孤忠書以報。書中道意知何如。上言先朝盛恩眷。下言今日空躕躇。再拜題封雙涕揮。一字一行懷暫攄。竟作觀津未歸身。地下魂𩲸猶恨茹。易水風寒釰歌雄。金臺日暮愁雲虛。事去千秋淚志士。擊節今朝又起余。</text>
<title>送崔明府解官還京 六韻</title>,<text>三淸僊洞共題名。塵世光陰廿八更。海內弟兄今地主。邑中賓客舊雲卿。黃堂暇日非常色。白雪陽春寡和聲。爭頌湖山民自得。獨憐琴鶴政偏淸。春齡先至分憂歲。銓批終違借冦情。江水西流舟不繫。滿岐齊望洛陽城。</text>
<title>送崔相赴燕京 六韻</title>,<text>驅馳王事再幽燕。相國勤勞任獨賢。地望同符祖孫業。天時又屬丙丁年。忘身膽激艱虞際。報主心長客路前。荊匣虛虹成感慨。藺懷珍璧在周旋。㫌忙日暮遼陽野。衣襲春深薊樹烟。想得此行回奏日。前星耀彩紫微天。時以世子冊封事。赴京故云。</text>
<title>贈禹水使 弼漢○十韻</title>,<text>湖西節度擁千艘。永保亭寒住錦袍。久信雄心秋凜烈。肯嫌華髮老蕭騷。龍驤戰艦荊門窄。司馬樓船玉帳高。天掛劍虹明落日。海翻旗火立層濤。于今廟筭紆南紀。從古關防築下牢。分閫已膺無敵勇。守藩方屬應時豪。波通吳越淄靑濶。陣設風雲虎豹韜。馮鼓疊掀趍水鷁。獸牙橫掣戴山鰲。恩波耀晝還鄕繡。烈氣凝霜洗海刀。自愧儒臣無膽略。鬂邊空白指冠毛。</text>
<title>挽金都事 秋萬 改葬 八韻</title>,<text>生同一甲又連姻。童丱交情晩轉親。名薦杏園推妙藝。位潛郞署惜奇珍。神方豈乏驅妖竪。天道終慳報善人。中壽較齡纔過半。上仙消臘已逾旬。曾將彩服依螟蠃。竟使靑氊托鳳獜。誰謂貴鄕初佩綬。謾憑幽隧更沾巾。舊時松栢詩爲讖。今日山川夢是眞。遷兆又當萱謝歲。杞城餘慟想彌新。</text>
<title>送金明府罷官還鄕 十韻</title>,<text>東閣承塵卽二年。疎慵獨有冀州天。溪巖選勝時爭席。湖艇浮春共挾仙。心佩厚恩聊自慰。病緣衰老却相憐。眼靑末路成眞契。頭白狂歌對醉眠。折節元非關斗粟。宣威本自說蒲鞭。從來百里嫌棲棘。何處南山可種田。王舃厭裁河縣錦。庖刀肎試武城絃。流塵暗起飛驄後。蹊肉潛投餓虎前。只酌古人臨餞水。誰懷老叟贈行錢。回瞻嶺樹千里隔。殘雪寒雲更黯然。</text>
<title>送淸風使君解紱還鄕 十韻</title>,<text>傾盖湖山共白頭。暮年何幸識荊州。聲名久仰曹劉壘。交義新登李郭舟。潦倒不緣爲世棄。逍遙那得辦仙遊。文翁惠化風行草。謝朓詩情月滿樓。琴閣晝閑眠野鶴。訟庭人靜集沙鷗。枯筇秋寺穿紅葉。短棹春江溯碧流。要和篇章聊遣興。强攜巵酒爲消憂。瓜期已報三年滿。離思還驚七月秋。朱紱倘來誰眷戀。靑山將別故遲留。海天西望歸程遠。日暮孤雲更起愁。</text>
<title>次江原方伯二十韻。述懷。</title>,<text>從古雲山不到讒。薜蘿深處逕開巖。仍成壺裏藏身計。莫售懷中滅字銜。瞻彼秋鴻翔縹緲。笑他春燕語呢喃。危蹤謾涉年來險。虐雪偏侵歲暮衫。蘭珮黃昏曾改路。桂江明月晩回帆。寓居羊浦村庄僻。時對龍門岳勢巉。薄宦爲貧非得意。短才於世不能諴。難容直道深慙柳。去國孤忠欲問咸。白芷歌長悲楚水。靑牛駕出杳秦函。閑來耕釣溪雲月。過去功名守尉監。落日誰憐衰鬂雪。秋風久着破荷衫。升沉運筭關天地。埋伏人歸等聖凡。公子華筵高莫躡。美人紅袖遠難摻。梁園詞客爭耽簡。宋野愚氓自寶瑊。隣壁照輝嗟已晩。坡翁說食笑還饞。句萌尙喜寒灰暖。魚鼈相忘大海醎。桃李蹊邊心斷絶。荊薪澗底手夷芟。何門不可長裾曳。三窟猶嫌小技毚。瘦竹困經風淅瀝。寒梅催望雨霏𩁺。欲言前後悠悠事。鵑口殘春愼在緘。</text>
<title>次義林池韻。呈明府。二十韻。</title>,<text>潮擅西南兩路名。鑿斯人力與天爭。涵源積水淵淵靜。綰谷長堤隱隱橫。壺裏乾坤開敞豁。鏡中山岳倒崝嶸。重雲鎖壁龍潛窟。衆壑通溪玉瀉泓。誇大不須言夢澤。費時何必涉蓬瀛。千章茂樹圍眞界。萬畒平原接縣城。追想昔人勞障築。豈徒閑日翫澄淸。深渠漲綠便開灌。絶瀑疏湍戒變盈。飛沫爽添遊客興。餘波流遍邑民耕。靈區遠自三韓闢。勝槩仍兼四郡鳴。錦峀嵐光連野濕。赤城霞影隔江平。泉通禹穴神功著。石老僊碁往跡明。人靜釣磯芳餌設。鷺忙沙渚晩巢營。査烟繞鼎蓴絲滑。膾雪登盤羽斝傾。歌艶岸桃傳妙曲。詩靑汀柳見閒情。堪題淸霅蘇仙句。思濯滄浪孺子纓。穩泛漁舟方取適。莫敎征馬復催程。回瞻塵世無佗况。可占烟波送此生。從古義林稱絶境。卽今賢宰播仁聲。深潭厚澤同流普。不獨漳河惠化行。</text>
<title>次賦雪 二十二韻</title>,<text>蕭颼朔氣透簾窻。慘黑頑雲囿八邦。鱗甲飜空沉海日。郊原回夜隔村釭。胡庭暗似風沙走。楚幕紛如玉斗撞。斜入舞筵偸巧態。散飛行逕學微跫。窮陰乍逐旋飊霽。冷響初傳曉鼓摐。銀海共環天下一。玉京分闢域中雙。晴光逈閃琉璃界。瑞氣回浮白玉幢。半夜春輝花萬樹。一天寒暈月千江。家家庭院堆塩絮。處處溪山沒磴矼。威勒太陽羲馭縮。氣衝坤軸蟄龍𢥠。松摧虬骨千尋色。梅折氷魂一寸腔。門掩暮天埋白屋。檻迎新旭壓層龎。藍關擁處行難進。大窖飧時節不降。剡棹月明淸興發。灞橋風緊皺眉厖。嘶寒朔野驕胡馬。吠恠炎天走越。日晩梁園凝硯墨。夜深准罍東㫌杠。人歸絶壑通新逕。鴈落空洲暗舊瀧。仍憶郢歌稀宇宙。欲偸鄒律入樽缸。化衡自致三元順。調鼎應須一力扛。時序適然當肅殺。歲寒猶或想干逢。禎祥已報登年慶。灾異休傳衆口哤。待得陽和消積素。好添春澤沛流淙。</text>
